catalog,vizier_source,vizier_table,recno,XMMXCS,Name,RAJ2000,DEJ2000,Counts,z,r_z,n_z,TX,e_TX,E_TX,OName,n_zoo,zoo,L500,e_L500,E_L500,R500,e_R500,E_R500,L200,e_L200,E_L200,R200,e_R200,E_R200,Simbad,RA_deg,Dec_deg
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,388,J135358.8+335003.1,J1353.9+3350,208.495,33.834194,553.3,0.47,LRG,spec,2.4,0.3,0.3,NSCS J135400+335023,DR7,s,1.256,0.155,0.183,452,33,36,1.97,0.184,0.174,686,51,55,Simbad,208.495,33.834194
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,389,J135449.3+691738.6,J1354.8+6917,208.705417,69.294056,549.4,0.21,Lit,spec,2.7,0.4,0.5,RX J1354.8+6917,dss,na,0.688,1e+20,1e+20,643,56,65,0.649,1e+20,1e+20,975,85,99,Simbad,208.705417,69.294056
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,390,J135541.9+182545.4,J1355.6+1825,208.924583,18.429278,235.9,0.28,DR7,phot,2.1,0.8,1.3,,DR7,s,0.142,0.125,0.226,517,117,161,0.195,0.176,0.626,783,178,245,Simbad,208.924583,18.429278
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,391,J135546.0+182250.8,J1355.7+1822,208.941667,18.380778,218.9,0.29,DR7,phot,2.2,0.4,0.5,,DR7,s,0.163,1e+20,1e+20,535,214,229,0.179,1e+20,1e+20,811,324,348,Simbad,208.941667,18.380778
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,392,J140615.8+283049.1,J1406.2+2830,211.565833,28.513639,325.1,0.55,Lit,spec,5.6,1.3,1.8,NSCS J140614+282911,DR7,s,2.093,0.596,1.193,628,82,126,2.495,0.974,3.757,952,125,191,Simbad,211.565833,28.513639
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,393,J140646.0+283308.3,J1406.7+2833,211.691667,28.552306,171.5,0.52,DR7,phot,2.3,0.6,1.4,,DR7,s,0.885,1e+20,1e+20,424,200,316,1.042,1e+20,1e+20,642,304,479,Simbad,211.691667,28.552306
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,394,J140935.2+262941.9,J1409.5+2629,212.396667,26.494972,227.5,0.12,DR7,phot,1.3,0.3,0.6,,DR7,s,0.136,1e+20,1e+20,1608,666,1608,0.129,1e+20,1e+20,1608,666,1608,Simbad,212.396667,26.494972
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,395,J141313.2-031803.8,J1413.2-0318,213.305,-3.301056,184.4,0.29,DR7,phot,1.4,0.5,1.3,,DR7,s,0.109,1e+20,1e+20,414,84,178,0.101,1e+20,1e+20,414,84,178,Simbad,213.305,-3.301056
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,396,J141458.4+440317.5,J1414.9+4403,213.743333,44.054861,159.0,0.43,DR7,phot,1.4,0.4,0.8,,DR7,s,0.132,1e+20,1e+20,352,61,103,0.124,1e+20,1e+20,533,93,157,Simbad,213.743333,44.054861
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,397,J141534.8+282335.2,J1415.5+2823,213.895,28.393111,619.6,0.22,LRG,spec,3.9,0.8,1.3,NSCS J141531+282421,DR7,s,0.771,0.738,1.312,792,103,142,1.145,1.112,2.616,1202,156,215,Simbad,213.895,28.393111
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,398,J141558.4+230719.0,J1415.9+2307,213.993333,23.121944,263.2,0.42,DR7,phot,2.9,0.4,0.4,OC03 J1415+2307,DR7,s,2.402,0.302,0.322,541,43,43,4.131,0.866,0.856,821,65,65,Simbad,213.993333,23.121944
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,399,J141657.5+231239.2,J1416.9+2312,214.239583,23.210889,116.7,0.1,DR7,phot,0.9,0.1,0.1,,DR7,s,0.016,0.004,0.005,369,19,28,0.017,0.004,0.005,561,29,42,Simbad,214.239583,23.210889
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,400,J141731.2+251139.1,J1417.5+2511,214.38,25.194194,179.5,0.18,LRG,spec,1.8,0.4,0.8,MaxBCG J214.37758+25.19479,DR7,s,0.029,1e+20,1e+20,517,63,124,0.027,1e+20,1e+20,517,63,124,Simbad,214.38,25.194194
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,401,J141832.3+251104.9,J1418.5+2511,214.634583,25.184694,5203.1,0.29,LRG,spec,6.4,0.4,0.4,WARP J1418.5+2511,DR7,g,5.432,0.308,0.331,971,34,33,6.255,0.42,0.457,1473,51,50,Simbad,214.634583,25.184694
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,402,J141936.2+064736.8,J1419.6+0647,214.900833,6.793556,14446.4,0.11,LRG,spec,2.7,0.2,0.1,MaxBCG J214.89931+06.79468,DR7,s,0.711,0.026,0.021,701,22,21,0.712,0.026,0.021,1064,34,32,Simbad,214.900833,6.793556
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,403,J142024.0+063241.5,J1420.4+0632,215.1,6.544861,262.8,0.11,DR7,phot,1.3,0.1,0.1,,DR7,s,0.012,0.002,0.004,471,25,16,0.012,0.002,0.005,715,38,25,Simbad,215.1,6.544861
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,404,J142044.6+063101.0,J1420.7+0631,215.185833,6.516944,300.6,0.14,DR7,phot,1.0,0.1,0.1,,DR7,s,0.116,0.032,0.034,397,20,21,0.214,0.07,0.082,602,30,33,Simbad,215.185833,6.516944
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,405,J142305.4+382807.0,J1423.0+3828,215.7725,38.468611,196.6,0.43,DR7,phot,6.4,2.7,5.6,,DR7,s,1.483,0.975,0.615,834,227,358,2.721,1.886,1.2,1265,344,543,Simbad,215.7725,38.468611
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,406,J142551.8+380246.3,J1425.8+3802,216.465833,38.046194,624.8,0.45,DR7,phot,3.7,0.8,1.1,,DR7,s,1.249,0.254,0.206,599,77,98,2.37,0.625,0.555,909,117,150,Simbad,216.465833,38.046194
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,407,J142908.4+424128.9,J1429.1+4241,217.285,42.691361,1887.4,0.92,Lit,spec,5.4,0.3,0.3,WARP J1429.0+4241,DR7,b,7.11,2.923,15.398,438,13,13,10.836,6.616,11.698,664,20,20,Simbad,217.285,42.691361
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,408,J143102.1+421431.3,J1431.0+4214,217.75875,42.242028,614.9,0.43,LRG,spec,4.3,0.9,1.2,NSCS J143106+421431,DR7,s,1.4,0.702,0.448,668,84,99,2.484,1.672,1.416,1014,128,150,Simbad,217.75875,42.242028
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,409,J143432.3+033744.4,J1434.5+0337,218.634583,3.629,140.8,0.29,LRG,spec,1.3,0.2,0.3,,DR7,s,0.108,0.066,0.193,395,38,41,0.147,0.105,0.551,600,57,63,Simbad,218.634583,3.629
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,410,J143603.2+632538.0,J1436.0+6325,219.013333,63.427222,1030.5,0.13,DR7,phot,1.3,0.1,0.1,,DR7,s,0.084,0.036,0.106,464,15,13,0.095,0.047,0.195,704,23,21,Simbad,219.013333,63.427222
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,411,J143714.4+341517.8,J1437.2+3415,219.31,34.254944,375.6,0.51,DR7,phot,8.4,3.0,6.3,,DR7,s,3.13,2.294,6.032,896,201,335,3.856,3.02,14.681,1359,304,508,Simbad,219.31,34.254944
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,412,J143724.6+341427.9,J1437.4+3414,219.3525,34.241083,133.3,0.44,DR7,phot,2.2,0.6,1.0,,DR7,s,0.364,0.212,0.498,445,73,104,0.459,0.307,1.632,675,110,159,Simbad,219.3525,34.241083
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,413,J143743.2+340807.8,J1437.7+3408,219.43,34.1355,175.5,0.49,DR7,phot,4.2,1.6,2.8,,DR7,s,1.414,0.482,0.509,612,147,206,2.232,0.893,1.062,928,224,312,Simbad,219.43,34.1355
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,414,J144016.2+034124.4,J1440.2+0341,220.0675,3.690111,957.3,0.29,LRG,spec,4.7,1.3,2.4,MaxBCG J220.08264+03.68114,DR7,s,0.709,0.168,0.225,803,134,224,0.785,0.211,0.302,1219,203,339,Simbad,220.0675,3.690111
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,415,J144811.2-002509.2,J1448.1-0025,222.046667,-0.419222,67.1,0.15,Lit,phot,1e+20,1e+20,1e+20,SDSS CE J222.053848-00.414730,dss,na,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,222.046667,-0.419222
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,416,J144856.7+090251.2,J1448.9+0902,222.23625,9.047556,225.4,1e+20,NXS,phot,1e+20,1e+20,1e+20,,NXS,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,222.23625,9.047556
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,417,J144940.0+084744.6,J1449.6+0847,222.416667,8.795722,290.4,1e+20,NXS,phot,1e+20,1e+20,1e+20,,NXS,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,222.416667,8.795722
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,418,J145009.3+090428.8,J1450.1+0904,222.53875,9.074667,694.0,0.6,DR7,phot,4.1,0.7,1.0,,NXS,g,1.371,0.712,0.724,536,57,69,1.8,1.141,3.669,813,86,105,Simbad,222.53875,9.074667
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,419,J145200.6-151957.0,J1452.0-1519,223.0025,-15.3325,201.4,1e+20,NXS,phot,1e+20,1e+20,1e+20,,NXS,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,223.0025,-15.3325
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,420,J145505.6+184148.4,J1455.0+1841,223.773333,18.696778,144.5,0.21,DR7,phot,1e+20,1e+20,1e+20,ABELL 1991:[RBP2007] B1,DR7,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,223.773333,18.696778
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,421,J150215.2+422815.7,J1502.2+4228,225.563333,42.471028,150.2,0.24,LRG,spec,1e+20,1e+20,1e+20,,DR7,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,225.563333,42.471028
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,422,J150652.9+014424.8,J1506.8+0144,226.720417,1.740222,165.3,0.65,Spec,spec,1.8,0.5,1.3,,NXS,na,0.295,0.097,0.119,320,50,116,0.503,0.291,0.343,486,76,176,Simbad,226.720417,1.740222
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,423,J150701.6+010650.5,J1507.0+0106,226.756667,1.114028,132.0,0.2,Lit,phot,0.5,0.1,0.1,SDSS CE J226.770203+01.119183,DR7,b,0.04,0.02,0.019,246,38,31,0.043,0.022,0.023,374,58,48,Simbad,226.756667,1.114028
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,424,J150824.8-001531.7,J1508.4-0015,227.103333,-0.258806,443.9,0.09,Lit,spec,3.1,0.9,1.5,SDSS-C4 1011,DR7,b,0.385,0.163,0.256,779,146,199,0.607,0.293,0.529,1182,221,302,Simbad,227.103333,-0.258806
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,425,J150918.3-001432.7,J1509.3-0014,227.32625,-0.242417,52.4,0.25,Lit,phot,0.9,0.2,0.3,SDSS CE J227.319229-00.249662,dss,na,0.178,0.144,0.135,334,38,49,0.317,0.282,0.386,507,58,75,Simbad,227.32625,-0.242417
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,426,J151050.4+670633.0,J1510.8+6706,227.71,67.109167,344.6,0.34,Lit,phot,4.1,0.8,1.1,NSC J151047+670715,DR7,b,1.944,0.555,0.55,713,79,106,2.696,1.009,1.06,1081,120,161,Simbad,227.71,67.109167
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,427,J151547.1+001529.3,J1515.7+0015,228.94625,0.258139,78.1,0.36,Lit,phot,1e+20,1e+20,1e+20,SDSS CE J228.947495+00.258315,dss,na,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,228.94625,0.258139
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,428,J151618.6+000531.3,J1516.3+0005,229.0775,0.092028,58930.1,0.12,LRG,spec,5.4,0.1,0.1,MaxBCG J229.07472+00.08903,DR7,g,4.299,0.05,0.046,1031,10,10,4.417,0.056,0.052,1564,15,15,Simbad,229.0775,0.092028
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,429,J153148.2+044314.4,J1531.8+0443,232.950833,4.720667,160.2,0.39,DR7,phot,1.5,0.1,0.3,BLOX J1531.8+0443.3,DR7,s,0.294,0.071,0.092,376,21,37,0.382,0.123,0.239,570,33,56,Simbad,232.950833,4.720667
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,430,J153455.1+232844.4,J1534.9+2328,233.729583,23.479,1990.6,0.09,LRG,spec,1.3,0.03,0.03,1RXH J153456.1+232822,DR7,s,0.174,0.009,0.023,474,6,6,0.288,0.059,0.02,719,9,9,Simbad,233.729583,23.479
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,431,J153629.7+543920.8,J1536.4+5439,234.12375,54.655778,220.4,0.41,LRG,spec,4.6,1.0,1.6,,DR7,g,0.367,0.359,0.763,718,104,139,0.423,0.415,1.966,1088,158,210,Simbad,234.12375,54.655778
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,432,J153643.9-141024.2,J1536.7-1410,234.182917,-14.173389,1201.3,0.4,Spec,spec,8.3,1.9,2.8,,NXS,g,4.662,1.218,1.434,1004,135,177,4.794,1.316,1.669,1523,205,269,Simbad,234.182917,-14.173389
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,433,J153648.2+543718.7,J1536.8+5437,234.200833,54.621861,150.7,0.38,LRG,spec,3.3,0.9,1.5,,DR7,s,0.274,0.206,0.049,600,105,145,0.315,0.246,0.058,911,159,219,Simbad,234.200833,54.621861
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,434,J154233.1+535919.9,J1542.5+5359,235.637917,53.988861,338.0,0.64,DR7,phot,5.3,1.6,3.0,,DR7,s,2.459,1.039,0.581,610,148,192,4.742,3.289,2.356,925,224,292,Simbad,235.637917,53.988861
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,435,J154932.2+213302.5,J1549.5+2133,237.384167,21.550694,468.9,0.58,Lit,phot,3.6,0.6,1.1,CXOMP J154932.1+213302,DR7,b,1.476,0.631,1.524,506,52,83,2.052,0.579,0.95,768,79,126,Simbad,237.384167,21.550694
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,436,J160129.8+083856.3,J1601.4+0838,240.374167,8.648972,660.9,0.19,LRG,spec,1.7,0.2,0.2,,DR7,s,0.525,0.121,0.118,505,26,31,0.84,0.35,0.35,766,40,47,Simbad,240.374167,8.648972
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,437,J161040.2+540613.2,J1610.6+5406,242.6675,54.103667,168.7,0.34,DR7,phot,1.7,0.2,0.2,,DR7,s,0.402,0.124,0.309,436,29,28,0.512,0.232,0.966,661,44,43,Simbad,242.6675,54.103667
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,438,J161132.7+541628.3,J1611.5+5416,242.88625,54.274528,644.1,0.34,DR7,phot,4.6,0.8,1.2,NSC J161132+541649,DR7,s,0.868,0.182,0.092,763,82,106,0.893,0.198,0.11,1157,125,160,Simbad,242.88625,54.274528
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,439,J161554.1+121928.9,J1615.9+1219,243.975417,12.324694,612.1,0.34,DR7,phot,3.4,0.6,0.8,,DR7,s,1.673,0.739,0.487,642,69,84,3.061,1.882,1.387,974,105,128,Simbad,243.975417,12.324694
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,440,J163015.6+243423.2,J1630.2+2434,247.565,24.573111,1072.2,0.06,LRG,spec,3.5,0.4,0.6,UGCl 398,DR7,s,0.612,0.372,0.201,862,62,83,0.953,0.602,0.363,1308,95,126,Simbad,247.565,24.573111
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,441,J163210.3+340022.3,J1632.1+3400,248.042917,34.006194,115.2,0.19,LRG,spec,0.8,0.1,0.1,,DR7,s,0.061,0.018,0.021,334,16,14,0.083,0.029,0.037,507,24,22,Simbad,248.042917,34.006194
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,442,J163341.0+571420.1,J1633.6+5714,248.420833,57.238917,134.1,0.24,Lit,spec,1.4,0.1,0.1,WARP J1633.6+5714,DR7,s,0.184,0.139,0.147,426,18,24,0.343,0.299,0.373,646,28,37,Simbad,248.420833,57.238917
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,443,J170041.9+641257.9,J1700.6+6412,255.174583,64.216083,597.8,0.24,LRG,spec,2.5,0.3,0.3,ABELL 2246,DR7,g,1.673,0.255,0.449,605,43,41,1.872,0.32,0.438,918,65,62,Simbad,255.174583,64.216083
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,444,J171246.1+435334.3,J1712.7+4353,258.192083,43.892861,140.1,0.59,DR7,phot,2.4,0.5,1.0,,DR7,s,1.741,0.881,1.651,397,52,86,2.901,1.792,1.013,602,80,130,Simbad,258.192083,43.892861
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,445,J171437.9+623322.2,J1714.6+6233,258.657917,62.556167,257.7,0.18,LRG,spec,1.4,0.1,0.2,,DR7,s,0.174,0.079,0.268,463,18,33,0.251,0.156,0.607,702,28,50,Simbad,258.657917,62.556167
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,446,J172335.9+341154.5,J1723.5+3411,260.899583,34.198472,50.5,0.41,NXS,phot,2.1,0.8,2.0,,NXS,s,0.882,0.882,0.227,451,107,205,1.051,1.051,0.249,685,162,312,Simbad,260.899583,34.198472
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,447,J173602.6+655941.1,J1736.0+6559,264.010833,65.99475,234.6,1e+20,DR7,phot,1e+20,1e+20,1e+20,,NXS,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,264.010833,65.99475
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,448,J184113.7+795459.0,J1841.2+7954,280.307083,79.916389,76.4,1e+20,NXS,phot,1e+20,1e+20,1e+20,,NXS,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,280.307083,79.916389
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,449,J190820.5+690320.0,J1908.3+6903,287.085417,69.055556,488.5,0.21,Lit,spec,4.9,1.2,1.8,ABELL 2317,dss,na,1.094,0.509,1.045,900,132,173,1.151,0.565,1.565,1365,200,262,Simbad,287.085417,69.055556
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,450,J200703.1-443757.6,J2007.0-4437,301.762917,-44.632667,467.2,0.2,Spec,spec,2.3,0.4,0.6,,NXS,s,0.201,0.164,0.05,500,76,106,0.299,0.248,0.109,758,115,161,Simbad,301.762917,-44.632667
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,451,J200759.0-110256.5,J2007.9-1102,301.995833,-11.049028,312.2,0.11,NXS,phot,2.1,0.4,0.5,,NXS,s,0.12,0.022,0.038,613,64,77,0.175,0.036,0.07,930,98,117,Simbad,301.995833,-11.049028
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,452,J201337.7-415345.4,J2013.6-4153,303.407083,-41.895944,65.6,1e+20,NXS,phot,1e+20,1e+20,1e+20,,NXS,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,303.407083,-41.895944
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,453,J201536.1-242616.6,J2015.6-2426,303.900417,-24.437944,157.6,0.57,NXS,phot,0.9,0.2,0.3,,NXS,s,0.354,0.225,0.211,234,26,40,0.393,0.252,0.244,355,40,61,Simbad,303.900417,-24.437944
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,454,J204130.4-351638.2,J2041.5-3516,310.376667,-35.277278,1298.6,1e+20,NXS,phot,1e+20,1e+20,1e+20,,NXS,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,310.376667,-35.277278
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,455,J204134.7-350901.2,J2041.5-3509,310.394583,-35.150333,2811.1,0.43,Spec,spec,4.4,0.5,0.6,,NXS,g,5.824,2.58,2.502,672,41,49,9.248,6.002,15.469,1019,63,74,Simbad,310.394583,-35.150333
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,456,J205405.9-154736.5,J2054.0-1547,313.524583,-15.793472,261.2,0.27,NXS,phot,2.5,0.9,2.0,,NXS,g,0.252,0.18,0.287,583,127,229,0.354,0.277,0.62,884,193,347,Simbad,313.524583,-15.793472
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,457,J210849.1-051638.5,J2108.8-0516,317.204583,-5.277361,519.6,0.32,Lit,spec,2.8,0.8,1.2,WARP J2108.8-0516,dss,na,0.82,0.683,0.881,580,110,136,1.014,0.877,2.369,880,166,206,Simbad,317.204583,-5.277361
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,458,J212748.7-450151.9,J2127.8-4501,321.952917,-45.031083,644.2,0.56,NXS,phot,3.6,0.8,1.2,,NXS,g,4.286,1.821,1.161,520,71,94,7.077,4.597,5.742,789,107,143,Simbad,321.952917,-45.031083
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,459,J212802.2-444957.6,J2128.0-4449,322.009167,-44.832667,89.8,0.39,NXS,phot,1e+20,1e+20,1e+20,,NXS,g,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,322.009167,-44.832667
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,460,J212807.6-445417.3,J2128.1-4454,322.031667,-44.904806,185.1,0.54,Spec,spec,1.2,0.4,0.5,,NXS,s,0.521,0.521,0.151,287,55,63,0.639,0.639,0.79,436,84,96,Simbad,322.031667,-44.904806
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,461,J212858.8-153430.6,J2128.9-1534,322.245,-15.575167,298.7,0.65,NXS,phot,2.4,0.3,0.6,,NXS,s,2.028,1.431,5.638,372,28,48,3.644,2.12,7.092,564,42,73,Simbad,322.245,-15.575167
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,462,J213026.9-000032.0,J2130.4-0000,322.612083,-0.008889,2569.4,0.14,LRG,spec,2.5,0.4,0.5,MaxBCG J322.61229-00.00676,DR7,s,0.581,0.091,0.093,664,55,65,1.003,0.182,0.195,1008,84,98,Simbad,322.612083,-0.008889
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,463,J213400.4-424017.0,J2134.0-4240,323.501667,-42.671389,365.8,0.2,Lit,spec,2.1,0.8,1.5,ABELL 3783,dss,na,0.292,1e+20,1e+20,562,134,202,0.275,1e+20,1e+20,863,204,306,Simbad,323.501667,-42.671389
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,464,J215122.9-302436.9,J2151.3-3024,327.845417,-30.41025,103.6,1e+20,NXS,phot,1e+20,1e+20,1e+20,,NXS,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,327.845417,-30.41025
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,465,J215221.6-273015.6,J2152.3-2730,328.09,-27.504333,265.1,0.83,Spec,spec,2.4,0.4,0.6,,NXS,g,0.831,0.362,0.254,305,30,42,1.273,0.338,0.281,463,45,64,Simbad,328.09,-27.504333
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,466,J215735.2-695256.1,J2157.5-6952,329.396667,-69.88225,220.6,0.49,NXS,phot,2.9,1.1,1.4,,NXS,s,0.453,0.293,0.038,499,123,128,0.46,0.298,0.04,757,187,194,Simbad,329.396667,-69.88225
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,467,J220550.0-015930.4,J2205.8-0159,331.458333,-1.991778,135.9,1.12,Lit,spec,2.8,1.3,2.7,XMMU J2205-0159,NXS,s,2.254,2.254,0.455,239,71,114,2.461,2.461,2.174,363,108,173,Simbad,331.458333,-1.991778
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,468,J220605.0-001113.4,J2206.0-0011,331.520833,-0.187056,138.6,0.34,S82,phot,3.4,0.8,3.0,,S82,s,0.161,0.128,0.12,645,93,281,0.169,0.135,0.152,979,141,426,Simbad,331.520833,-0.187056
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,469,J220621.9-002540.0,J2206.3-0025,331.59125,-0.427778,297.2,0.31,S82,phot,0.5,0.1,0.2,,S82,s,0.071,0.032,0.068,210,29,40,0.076,0.033,0.068,318,44,60,Simbad,331.59125,-0.427778
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,470,J220740.3+101814.4,J2207.6+1018,331.917917,10.304,83.5,1e+20,NXS,phot,1e+20,1e+20,1e+20,,NXS,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,331.917917,10.304
