catalog,vizier_source,vizier_table,recno,XMMXCS,Name,RAJ2000,DEJ2000,Counts,z,r_z,n_z,TX,e_TX,E_TX,OName,n_zoo,zoo,L500,e_L500,E_L500,R500,e_R500,E_R500,L200,e_L200,E_L200,R200,e_R200,E_R200,Simbad,RA_deg,Dec_deg
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,334,J124425.9+164758.0,J1244.4+1647,191.107917,16.799444,322.0,0.23,LRG,spec,1.3,0.2,0.3,,DR7,s,0.05,0.019,0.031,417,38,54,0.059,0.026,0.048,632,58,82,Simbad,191.107917,16.799444
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,335,J124454.1-003330.3,J1244.9-0033,191.225417,-0.558417,1268.5,0.23,LRG,spec,2.1,0.3,0.3,SDSS CE J191.220871-00.560489,DR7,s,0.226,0.191,0.074,545,41,46,0.335,0.296,0.243,827,63,69,Simbad,191.225417,-0.558417
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,336,J125047.4+263353.4,J1250.7+2633,192.6975,26.564833,361.4,0.3,Lit,phot,2.0,0.6,0.8,FSVS_CL J125048+263418,DR7,b,0.26,0.119,0.094,495,85,107,0.528,0.376,0.296,751,130,163,Simbad,192.6975,26.564833
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,337,J125203.7-292043.5,J1252.0-2920,193.015417,-29.345417,1148.7,0.19,Lit,spec,2.5,0.3,0.3,400d J1252-2920,dss,na,0.516,0.038,0.039,626,37,35,0.768,0.058,0.059,950,57,54,Simbad,193.015417,-29.345417
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,338,J125254.7-292713.0,J1252.9-2927,193.227917,-29.453611,1103.4,1.24,Lit,spec,5.5,0.4,0.5,RDCS J1252-2927,dss,na,3.715,0.229,0.263,306,14,14,5.25,0.267,0.279,465,22,22,Simbad,193.227917,-29.453611
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,339,J125403.0+310150.0,J1254.0+3101,193.5125,31.030556,367.7,0.48,DR7,phot,3.4,0.7,0.9,,DR7,s,0.77,0.535,0.181,553,67,73,1.194,0.959,1.006,839,102,111,Simbad,193.5125,31.030556
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,340,J125621.5+254603.9,J1256.3+2546,194.089583,25.76775,137.0,0.17,DR7,phot,2.6,1.0,2.6,NSCS J125618+254632,DR7,s,0.022,0.016,0.023,649,162,312,0.023,0.016,0.025,985,246,474,Simbad,194.089583,25.76775
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,341,J125650.2+254803.2,J1256.8+2548,194.209167,25.800889,236.7,0.28,H11,phot,1.4,0.2,0.3,,DR7,s,0.095,0.042,0.06,406,33,47,0.096,0.043,0.096,616,50,72,Simbad,194.209167,25.800889
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,342,J125752.7+283010.6,J1257.8+2830,194.469583,28.502944,513.4,0.25,DR7,phot,3.9,1.0,2.0,NSC J125756+283018,DR7,s,0.939,0.261,0.258,763,123,200,1.696,0.538,0.587,1157,187,304,Simbad,194.469583,28.502944
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,343,J125933.2+283039.3,J1259.5+2830,194.888333,28.510917,1990.7,0.52,DR7,phot,8.5,1.6,1.7,,DR7,s,3.119,0.485,0.186,892,101,98,3.13,0.485,0.185,1353,154,150,Simbad,194.888333,28.510917
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,344,J130106.9+281808.3,J1301.1+2818,195.27875,28.302306,126.7,1e+20,DR7,phot,1e+20,1e+20,1e+20,,DR7,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,195.27875,28.302306
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,345,J130150.1+585753.5,J1301.8+5857,195.45875,58.964861,132.8,0.25,DR7,phot,1e+20,1e+20,1e+20,ZwCl 1259.8+5913,DR7,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,195.45875,58.964861
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,346,J130456.5-101009.3,J1304.9-1010,196.235417,-10.16925,75.5,0.64,NXS,phot,1e+20,1e+20,1e+20,,NXS,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,196.235417,-10.16925
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,347,J130505.7-101643.6,J1305.0-1016,196.27375,-10.278778,114.7,0.33,NXS,phot,2.0,0.3,0.6,,NXS,s,0.385,0.216,0.11,479,47,82,0.738,0.568,0.323,727,72,125,Simbad,196.27375,-10.278778
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,348,J130515.1+180215.5,J1305.2+1802,196.312917,18.037639,107.6,0.53,DR7,phot,1e+20,1e+20,1e+20,ZwCl 1303.0+1819,DR7,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,196.312917,18.037639
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,349,J130527.1+673519.8,J1305.4+6735,196.362917,67.588833,395.4,1e+20,DR7,phot,1e+20,1e+20,1e+20,,DR7,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,196.362917,67.588833
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,350,J130534.7+175658.6,J1305.5+1756,196.394583,17.949611,1416.9,0.5,DR7,phot,4.7,0.5,1.2,,DR7,s,1.392,1.059,0.36,650,42,88,1.923,1.59,1.788,985,63,133,Simbad,196.394583,17.949611
