catalog,vizier_source,vizier_table,recno,MOO2,m_MOO2,RAJ2000,DEJ2000,zphot,e_zphot,S_N,S_N-G,Name-fg,zspec,r_zspec,LitName,r_LitName,SimbadName,NED,RA_deg,Dec_deg
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,1,J00000+02569,,0.008,2.949,0.42,0.041,5.6,6.4,,1e+20,,,,,NED,0.00800000037997961,2.9489998817443848
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,2,J00000+02191,,0.013,2.319,0.46,0.042,7.0,8.4,,1e+20,,,,,NED,0.013000000268220901,2.319000005722046
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,3,J00000-00547,,0.018,-0.913,1.92,0.085,5.6,7.3,,1e+20,,,,,NED,0.017999999225139618,-0.9129999876022339
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,4,J00001+03229,,0.026,3.382,1.61,0.076,6.8,8.9,,1e+20,,,,,NED,0.026000000536441803,3.381999969482422
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,5,J00001+03517,,0.038,3.862,0.92,0.056,5.0,5.8,,1e+20,,,,,NED,0.03799999877810478,3.861999988555908
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,6,J00001+04501,,0.038,4.835,0.85,0.054,6.5,7.9,,1e+20,,,,,NED,0.03799999877810478,4.835000038146973
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,7,J00001-01365,,0.039,-1.609,0.98,0.057,5.1,6.0,,1e+20,,,,,NED,0.039000000804662704,-1.6089999675750732
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,8,J00001+04109,,0.046,4.182,0.605,0.047,5.8,6.8,,1e+20,,,,,NED,0.04600000008940697,4.182000160217285
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,9,J00001+02191,,0.047,2.319,0.67,0.048,6.1,7.2,,1e+20,,,,,NED,0.04699999839067459,2.319000005722046
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,10,J00002-01323,,0.049,-1.539,1.23,0.065,5.4,6.5,,1e+20,,,,,NED,0.04899999871850014,-1.5390000343322754
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,11,J00002-02119,,0.053,-2.199,0.46,0.042,6.9,8.4,,1e+20,,,,,NED,0.05299999937415123,-2.1989998817443848
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,12,J00002-02487,,0.061,-2.812,0.42,0.041,5.3,6.1,,1e+20,,,,,NED,0.061000000685453415,-2.812000036239624
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,13,J00002-00485,,0.071,-0.809,0.54,0.045,5.1,5.8,,1e+20,,,,,NED,0.07100000232458115,-0.8090000152587891
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,14,J00003-02477,,0.074,-2.795,1.55,0.074,5.0,6.2,,1e+20,,,,,NED,0.07400000095367432,-2.7950000762939453
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,15,J00004-01025,,0.115,-1.043,0.41,0.041,10.4,13.5,,0.439,2,ACT-CL J0000.4-0102,"2,12",ACT-CL J0000.4-0102,NED,0.11500000208616257,-1.0429999828338623
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,16,J00004+01063,,0.115,1.106,0.75,0.051,5.6,6.5,,1e+20,,,,,NED,0.11500000208616257,1.1059999465942383
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,17,J00005+00549,,0.141,0.916,0.61,0.047,6.9,8.4,,1e+20,,HSCJ000027+005457,14,HSCS J000027+005457,NED,0.14100000262260437,0.9160000085830688
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,18,J00005-04149,,0.143,-4.248,0.99,0.058,5.1,6.0,,1e+20,,,,,NED,0.14300000667572021,-4.248000144958496
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19,J00006+04082,,0.149,4.138,1.22,0.064,5.5,6.6,,1e+20,,,,,NED,0.14900000393390656,4.138000011444092
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,20,J00006-02521,,0.155,-2.868,1.06,0.06,5.8,6.9,,1e+20,,,,,NED,0.1550000011920929,-2.868000030517578
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,21,J00006+04479,,0.165,4.798,0.53,0.044,5.3,6.2,,1e+20,,,,,NED,0.16500000655651093,4.797999858856201
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,22,J00007+02249,,0.177,2.415,0.405,0.041,9.4,11.9,,1e+20,,,,,NED,0.1770000010728836,2.4149999618530273
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,23,J00007+03079,,0.186,3.132,1.14,0.062,7.3,9.3,,1e+20,,,,,NED,0.1860000044107437,3.131999969482422
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,24,J00007-00509,,0.188,-0.849,0.4,0.041,8.6,10.8,,0.412,12,RMJ000049.3-005042.9,12,[RRB2014] RM J000049.3-005042.9,NED,0.18799999356269836,-0.8489999771118164
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,25,J00007-01121,,0.192,-1.203,0.4,0.041,5.8,6.7,,0.439,12,RMJ000044.4-011200.8,12,[RRB2014] RM J000044.4-011200.8,NED,0.19200000166893005,-1.2029999494552612
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,26,J00007+01083,,0.195,1.139,0.82,0.053,5.2,6.1,,1e+20,,HSCJ000048+010930,14,HSCS J000048+010930,NED,0.19499999284744263,1.1390000581741333
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,27,J00008+04122,,0.206,4.205,1.25,0.065,6.8,8.6,,1e+20,,,,,NED,0.20600000023841858,4.204999923706055
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,28,J00008-02263,,0.22,-2.439,0.85,0.054,5.6,6.6,,1e+20,,,,,NED,0.2199999988079071,-2.438999891281128
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,29,J00009+03254,,0.237,3.425,0.52,0.044,6.2,7.3,,1e+20,,,,,NED,0.2370000034570694,3.424999952316284
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,30,J00009+03047,,0.242,3.078,0.45,0.042,7.8,9.5,,0.45,12,RMJ000057.0+030347.8,12,[RRB2014] RM J000057.0+030347.8,NED,0.24199999868869781,3.078000068664551
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,31,J00009-01533,,0.243,-1.889,1.62,0.076,5.6,7.2,,1e+20,,,,,NED,0.24300000071525574,-1.8890000581741333
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,32,J00009+00220,,0.244,0.366,1.19,0.064,5.7,7.0,,1e+20,,HSCJ000059+002144,14,HSCS J000059+002144,NED,0.24400000274181366,0.3659999966621399
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,33,J00010-03340,,0.247,-3.568,0.79,0.052,5.1,5.9,,1e+20,,,,,NED,0.24699999392032623,-3.568000078201294
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,34,J00010-01127,,0.248,-1.213,1.31,0.067,5.8,7.2,,1e+20,,,,,NED,0.24799999594688416,-1.2130000591278076
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,35,J00010+00493,,0.251,0.823,0.25,0.036,6.7,7.8,,0.263,12,RMJ000050.5+004705.2,"12,14",[RRB2014] RM J000050.5+004705.2,NED,0.25099998712539673,0.8230000138282776
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,36,J00010+04098,,0.256,4.165,1.245,0.065,5.6,6.9,,1e+20,,,,,NED,0.25600001215934753,4.164999961853027
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,37,J00010+01015,,0.258,1.026,0.67,0.048,5.4,6.3,,1e+20,,,,,NED,0.257999986410141,1.0260000228881836
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,38,J00010+02497,,0.262,2.828,1.15,0.062,6.8,8.5,,1e+20,,,,,NED,0.2619999945163727,2.828000068664551
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,39,J00010+04134,,0.266,4.225,0.5,0.044,7.1,8.6,,1e+20,,,,,NED,0.26600000262260437,4.224999904632568
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,40,J00010+02565,,0.269,2.942,1.07,0.06,5.6,6.7,,1e+20,,,,,NED,0.26899999380111694,2.941999912261963
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,41,J00011+01261,,0.295,1.436,0.68,0.049,7.4,9.2,,0.722,14,HSCJ000111+012558,14,HSCS J000111+012558,NED,0.29499998688697815,1.4359999895095825
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,42,J00012+03272,,0.3,3.455,1.1,0.061,5.9,7.1,,1e+20,,,,,NED,0.30000001192092896,3.4549999237060547
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,43,J00012+01561,,0.32,1.935,0.85,0.054,5.1,5.9,,1e+20,,,,,NED,0.3199999928474426,1.934999942779541
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,44,J00013-02097,,0.333,-2.162,1.29,0.066,5.5,6.8,,1e+20,,,,,NED,0.3330000042915344,-2.1619999408721924
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,45,J00013+04398,,0.335,4.665,1.015,0.058,5.7,6.8,,1e+20,,,,,NED,0.33500000834465027,4.664999961853027
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,46,J00013-03168,,0.336,-3.281,0.29,0.037,9.8,12.3,,0.303,12,RMJ000117.2-031648.1,12,[RRB2014] RM J000117.2-031648.1,NED,0.335999995470047,-3.2809998989105225
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,47,J00013+04244,,0.337,4.408,0.935,0.056,7.0,8.6,,1e+20,,,,,NED,0.3370000123977661,4.4079999923706055
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,48,J00013+01021,,0.338,1.036,0.57,0.046,5.2,6.0,,0.552,14,HSCJ000122+010149,14,HSCS J000122+010149,NED,0.33799999952316284,1.0360000133514404
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,49,J00013+00131,,0.341,0.22,0.42,0.041,6.0,7.0,,1e+20,,,,,NED,0.3409999907016754,0.2199999988079071
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,50,J00013-04372,,0.345,-4.621,0.68,0.049,5.3,6.2,,1e+20,,,,,NED,0.3449999988079071,-4.620999813079834
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,51,J00014-04262,,0.351,-4.438,0.305,0.038,5.1,5.8,,1e+20,,RMJ000123.1-042604.7,12,[RRB2014] RM J000123.1-042604.7,NED,0.35100001096725464,-4.438000202178955
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,52,J00014-00022,,0.354,-0.037,0.23,0.036,10.6,13.0,,0.247,2,ACT-CL J0001.4-0002,"2,14",ACT-CL J0001.4-0002,NED,0.3540000021457672,-0.03700000047683716
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,53,J00014+02582,,0.359,2.972,1.895,0.084,5.3,6.9,,1e+20,,,,,NED,0.35899999737739563,2.9719998836517334
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,54,J00015+00549,,0.378,0.916,0.53,0.044,8.9,11.3,,0.552,12,RMJ000128.2+005702.8,"12,14",[RRB2014] RM J000128.2+005702.8,NED,0.3779999911785126,0.9160000085830688
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,55,J00015+04206,,0.391,4.345,1.435,0.071,5.1,6.3,,1e+20,,,,,NED,0.39100000262260437,4.34499979019165
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,56,J00015-03286,,0.394,-3.478,1.875,0.083,6.6,9.1,,1e+20,,,,,NED,0.39399999380111694,-3.4779999256134033
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,57,J00016-02449,,0.418,-2.748,0.29,0.037,9.6,12.0,,0.316,12,RMJ000141.5-024439.0,12,[RRB2014] RM J000141.5-024439.0,NED,0.4180000126361847,-2.747999906539917
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,58,J00017+01585,,0.423,1.975,0.45,0.042,6.3,7.4,,1e+20,,,,,NED,0.4230000078678131,1.975000023841858
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,59,J00017-04098,,0.423,-4.164,0.99,0.058,6.6,8.1,,1e+20,,,,,NED,0.4230000078678131,-4.164000034332275
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,60,J00017-04176,,0.43,-4.294,0.69,0.049,5.5,6.5,,1e+20,,,,,NED,0.4300000071525574,-4.294000148773193
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,61,J00017+02301,,0.438,2.502,1.78,0.081,7.1,9.8,,1e+20,,,,,NED,0.43799999356269836,2.502000093460083
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,62,J00017+02381,,0.438,2.635,1.77,0.08,5.6,7.4,,1e+20,,,,,NED,0.43799999356269836,2.634999990463257
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,63,J00017-00343,,0.445,-0.573,1.485,0.072,5.1,6.4,,1e+20,,,,,NED,0.4449999928474426,-0.5730000138282776
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,64,J00018-03276,,0.461,-3.461,1.56,0.074,5.1,6.4,,1e+20,,,,,NED,0.460999995470047,-3.4609999656677246
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,65,J00018-01131,,0.462,-1.219,1.3,0.067,5.2,6.3,,1e+20,,,,,NED,0.4620000123977661,-1.218999981880188
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,66,J00018-04040,,0.463,-4.068,0.47,0.043,5.9,6.9,,1e+20,,,,,NED,0.46299999952316284,-4.067999839782715
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,67,J00018-04072,,0.463,-4.121,1.5,0.073,5.2,6.4,,1e+20,,,,,NED,0.46299999952316284,-4.120999813079834
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,68,J00018-03162,,0.47,-3.271,1.29,0.066,5.5,6.7,,1e+20,,,,,NED,0.4699999988079071,-3.2709999084472656
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,69,J00019-01559,,0.473,-1.932,0.46,0.042,7.7,9.5,,0.444,12,RMJ000156.8-015707.9,12,[RRB2014] RM J000156.8-015707.9,NED,0.4729999899864197,-1.9320000410079956
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,70,J00019+00351,,0.475,0.586,0.49,0.043,5.5,6.3,,1e+20,,,,,NED,0.4749999940395355,0.5860000252723694
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,71,J00019-00441,,0.478,-0.736,0.96,0.057,7.5,9.4,,1e+20,,HSCJ000152-004421,14,HSCS J000152-004421,NED,0.4779999852180481,-0.7360000014305115
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,72,J00019+02187,,0.481,2.312,0.725,0.05,8.2,10.3,,1e+20,,,,,NED,0.48100000619888306,2.312000036239624
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,73,J00019+00423,,0.485,0.706,0.38,0.04,5.9,6.8,,0.389,12,RMJ000157.1+004220.8,"12,14",[RRB2014] RM J000157.1+004220.8,NED,0.48500001430511475,0.7059999704360962
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,74,J00019+01123,,0.485,1.206,2.0,0.087,6.0,8.0,,1e+20,,,,,NED,0.48500001430511475,1.2059999704360962
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,75,J00019+01401,,0.486,1.669,0.49,0.043,6.0,7.1,,1e+20,,,,,NED,0.4860000014305115,1.6690000295639038
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,76,J00019-03590,,0.486,-3.984,0.2,0.035,5.6,6.4,,1e+20,,,,,NED,0.4860000014305115,-3.9839999675750732
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,77,J00019-03180,,0.49,-3.301,0.775,0.051,5.4,6.3,,1e+20,,,,,NED,0.49000000953674316,-3.3010001182556152
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,78,J00019+00507,,0.492,0.846,0.68,0.049,6.6,7.9,,1e+20,,HSCJ000158+005035,14,HSCS J000158+005035,NED,0.492000013589859,0.8460000157356262
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,79,J00020-04076,,0.51,-4.128,0.53,0.044,5.3,6.2,,1e+20,,,,,NED,0.5099999904632568,-4.127999782562256
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,80,J00020+00197,,0.515,0.33,0.345,0.039,5.6,6.5,,0.301,12,RMJ000201.8+002049.2,"12,14",[RRB2014] RM J000201.8+002049.2,NED,0.5149999856948853,0.33000001311302185
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,81,J00020+00401,,0.518,0.669,0.68,0.049,6.2,7.3,,1e+20,,,,,NED,0.5180000066757202,0.6690000295639038
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,82,J00020-04370,,0.519,-4.618,0.855,0.054,6.0,7.1,,1e+20,,,,,NED,0.5189999938011169,-4.618000030517578
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,83,J00020+01061,,0.522,1.102,1.2,0.064,5.2,6.2,,1e+20,,HSCJ000204+010619,14,HSCS J000204+010619,NED,0.5220000147819519,1.1019999980926514
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,84,J00021+02093,,0.527,2.155,0.88,0.055,5.8,6.9,,1e+20,,HSCJ000208+020935,14,HSCS J000208+020935,NED,0.5270000100135803,2.1549999713897705
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,85,J00021+01453,,0.533,1.755,0.43,0.041,5.6,6.5,,1e+20,,,,,NED,0.5329999923706055,1.7549999952316284
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,86,J00021+02197,,0.534,2.328,0.42,0.041,5.8,6.7,,1e+20,,,,,NED,0.5339999794960022,2.328000068664551
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,87,J00021-04126,,0.537,-4.211,0.59,0.046,5.4,6.2,,1e+20,,,,,NED,0.5370000004768372,-4.210999965667725
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,88,J00022-03246,,0.551,-3.411,0.68,0.049,8.8,11.3,,1e+20,,,,,NED,0.5509999990463257,-3.4110000133514404
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,89,J00022+03450,,0.552,3.751,0.61,0.047,7.1,8.7,,1e+20,,,,,NED,0.5519999861717224,3.750999927520752
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,90,J00022-01453,,0.556,-1.755,0.34,0.039,6.8,8.0,,0.384,12,RMJ000211.8-014448.3,12,[RRB2014] RM J000211.8-014448.3,NED,0.5559999942779541,-1.7549999952316284
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,91,J00022+03358,,0.558,3.598,0.585,0.046,5.7,6.7,,1e+20,,,,,NED,0.5580000281333923,3.5980000495910645
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,92,J00022+02336,,0.558,2.562,1.625,0.076,5.3,6.7,,1e+20,,,,,NED,0.5580000281333923,2.562000036239624
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,93,J00022-00439,,0.558,-0.733,1.23,0.065,5.1,6.1,,1e+20,,,,,NED,0.5580000281333923,-0.7329999804496765
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,94,J00022-01049,,0.558,-1.082,0.65,0.048,7.8,9.6,,1e+20,,,,,NED,0.5580000281333923,-1.0820000171661377
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,95,J00022-03562,,0.559,-3.938,0.425,0.041,5.0,5.7,,1e+20,,,,,NED,0.5590000152587891,-3.937999963760376
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,96,J00022+01319,,0.569,1.532,0.81,0.052,7.0,8.5,,0.838,2,ACT-CL J0002.3+0131,"2,14",ACT-CL J0002.3+0131,NED,0.5690000057220459,1.531999945640564
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,97,J00023-01317,,0.579,-1.529,0.46,0.042,5.8,6.7,,1e+20,,,,,NED,0.5789999961853027,-1.5290000438690186
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,98,J00023-01493,,0.586,-1.822,1.9,0.084,5.2,6.7,,1e+20,,,,,NED,0.5860000252723694,-1.8220000267028809
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,99,J00024-02091,,0.6,-2.152,1.745,0.08,5.5,7.1,,1e+20,,,,,NED,0.6000000238418579,-2.1519999504089355
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,100,J00024+01449,,0.603,1.749,0.2,0.035,5.4,6.0,,0.19,14,HSCJ000227+014500,14,HSCS J000227+014500,NED,0.6029999852180481,1.7489999532699585
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,101,J00024+03174,,0.607,3.291,0.56,0.045,7.1,8.7,,1e+20,,,,,NED,0.6069999933242798,3.2909998893737793
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,102,J00024-01211,,0.609,-1.352,0.41,0.041,5.3,6.1,,1e+20,,,,,NED,0.609000027179718,-1.3519999980926514
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,103,J00024-00145,,0.611,-0.243,1.735,0.079,5.1,6.4,,1e+20,,,,,NED,0.6110000014305115,-0.24300000071525574
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,104,J00024-04434,,0.616,-4.724,0.41,0.041,7.4,8.9,,1e+20,,,,,NED,0.6159999966621399,-4.723999977111816
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,105,J00024-03420,,0.618,-3.701,0.42,0.041,5.4,6.3,,1e+20,,,,,NED,0.6179999709129333,-3.7009999752044678
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,106,J00024+01155,,0.622,1.259,0.4,0.041,6.5,7.7,,1e+20,,,,,NED,0.621999979019165,1.2589999437332153
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,107,J00025+04158,,0.624,4.264,0.72,0.05,5.3,6.1,,1e+20,,,,,NED,0.6240000128746033,4.263999938964844
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,108,J00025+01385,,0.639,1.642,0.34,0.039,6.4,7.4,,1e+20,,,,,NED,0.6389999985694885,1.6419999599456787
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,109,J00025-03404,,0.645,-3.674,1.08,0.06,7.4,9.3,,1e+20,,,,,NED,0.6449999809265137,-3.6740000247955322
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,110,J00025-02025,,0.647,-2.042,0.37,0.04,7.0,8.4,,1e+20,,,,,NED,0.6470000147819519,-2.0420000553131104
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,111,J00026+01303,,0.656,1.505,0.74,0.05,5.5,6.5,,1e+20,,HSCJ000236+012931,14,HSCS J000236+012931,NED,0.656000018119812,1.5049999952316284
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,112,J00026-02019,,0.66,-2.032,1.72,0.079,6.5,8.8,,1e+20,,,,,NED,0.6600000262260437,-2.0320000648498535
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,113,J00026-00319,,0.665,-0.533,0.21,0.035,7.5,8.6,,0.291,12,RMJ000225.2-003212.8,12,[RRB2014] RM J000225.2-003212.8,NED,0.6650000214576721,-0.5329999923706055
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,114,J00026+02490,,0.666,2.818,0.48,0.043,7.1,8.6,,1e+20,,,,,NED,0.6660000085830688,2.818000078201294
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,115,J00026-00195,,0.671,-0.326,0.605,0.047,5.5,6.3,,1e+20,,,,,NED,0.6710000038146973,-0.32600000500679016
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,116,J00027-01495,,0.673,-1.825,0.46,0.042,5.0,5.7,,1e+20,,,,,NED,0.6729999780654907,-1.8250000476837158
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,117,J00027-00331,,0.675,-0.553,0.51,0.044,7.0,8.5,,0.518,14,HSCJ000244-003317,14,HSCS J000244-003317,NED,0.675000011920929,-0.5529999732971191
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,118,J00027-02356,,0.682,-2.595,0.56,0.045,7.3,8.9,,1e+20,,,,,NED,0.6819999814033508,-2.5950000286102295
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,119,J00027+03336,,0.685,3.561,0.2,0.035,5.7,6.4,,1e+20,,,,,NED,0.6850000023841858,3.561000108718872
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,120,J00027-03258,,0.688,-3.431,0.32,0.038,12.5,16.7,,1e+20,,RMJ000246.9-032647.3,12,[RRB2014] RM J000246.9-032647.3,NED,0.6880000233650208,-3.430999994277954
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,121,J00027+00098,,0.691,0.163,0.64,0.048,5.1,5.8,,1e+20,,,,,NED,0.6909999847412109,0.16300000250339508
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,122,J00027-01157,,0.696,-1.262,0.59,0.046,5.0,5.8,,1e+20,,,,,NED,0.6959999799728394,-1.2619999647140503
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,123,J00028+01233,,0.699,1.389,0.78,0.052,5.3,6.2,,0.841,14,HSCJ000248+012328,14,HSCS J000248+012328,NED,0.6990000009536743,1.3890000581741333
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,124,J00028-04202,,0.708,-4.337,0.57,0.046,7.0,8.5,,1e+20,,RMJ000249.1-042021.1,12,[RRB2014] RM J000249.1-042021.1,NED,0.7080000042915344,-4.336999893188477
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,125,J00028-01265,,0.709,-1.442,0.83,0.053,5.1,6.0,,1e+20,,,,,NED,0.7089999914169312,-1.4420000314712524
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,126,J00029+03206,,0.734,3.344,0.57,0.046,5.9,6.9,,1e+20,,,,,NED,0.734000027179718,3.3440001010894775
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,127,J00029+01507,,0.737,1.845,0.32,0.038,8.6,10.5,,0.344,12,RMJ000255.0+015041.8,"12,14",[RRB2014] RM J000255.0+015041.8,NED,0.7369999885559082,1.8450000286102295
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,128,J00029+04358,,0.743,4.597,0.6,0.046,5.6,6.6,,1e+20,,,,,NED,0.7429999709129333,4.5970001220703125
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,129,J00030+00537,,0.748,0.896,0.93,0.056,5.3,6.3,,1e+20,,HSCJ000300+005341,14,HSCS J000300+005341,NED,0.7480000257492065,0.8960000276565552
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,130,J00030-02492,,0.756,-2.821,0.6,0.046,5.8,6.8,,1e+20,,,,,NED,0.7559999823570251,-2.821000099182129
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,131,J00030-01305,,0.766,-1.509,1.33,0.068,5.7,7.0,,1e+20,,,,,NED,0.765999972820282,-1.5089999437332153
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,132,J00030+00427,,0.768,0.713,0.66,0.048,6.0,7.1,,1e+20,,HSCJ000306+004241,14,HSCS J000306+004241,NED,0.7680000066757202,0.7129999995231628
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,133,J00030-04278,,0.769,-4.464,0.52,0.044,6.4,7.7,,1e+20,,,,,NED,0.7689999938011169,-4.464000225067139
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,134,J00030+02464,,0.769,2.775,0.725,0.05,5.4,6.3,,1e+20,,,,,NED,0.7689999938011169,2.7750000953674316
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,135,J00030+01193,,0.772,1.322,1.67,0.077,5.7,7.3,,1e+20,,,,,NED,0.7720000147819519,1.3220000267028809
