catalog,vizier_source,vizier_table,recno,MOO2,m_MOO2,RAJ2000,DEJ2000,zphot,e_zphot,S_N,S_N-G,Name-fg,zspec,r_zspec,LitName,r_LitName,SimbadName,NED,RA_deg,Dec_deg
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19803,J22169+04418,,334.232,4.697,0.43,0.041,5.7,6.6,,1e+20,,,,,NED,334.23199462890625,4.697000026702881
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19804,J22170+02042,,334.249,2.07,0.83,0.053,6.7,8.1,,1e+20,,,,,NED,334.2489929199219,2.069999933242798
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19805,J22170-00354,,334.253,-0.59,0.75,0.051,5.6,6.6,,1e+20,,HSCJ221701-003543,14,HSCS J221701-003543,NED,334.25299072265625,-0.5899999737739563
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19806,J22170-02342,,334.259,-2.57,0.43,0.041,5.2,6.0,,1e+20,,,,,NED,334.2590026855469,-2.569999933242798
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19807,J22171-01256,,334.276,-1.427,1.23,0.065,5.9,7.3,,1e+20,,,,,NED,334.2760009765625,-1.4270000457763672
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19808,J22172-00388,,334.3,-0.647,0.415,0.041,9.3,11.8,,0.407,12,RMJ221711.4-003830.2,"12,14",[RRB2014] RM J221711.4-003830.2,NED,334.29998779296875,-0.6470000147819519
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19809,J22172-02252,,334.302,-2.42,0.5,0.044,5.0,5.8,,1e+20,,,,,NED,334.302001953125,-2.4200000762939453
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19810,J22172-01192,,334.303,-1.32,0.27,0.037,5.0,5.7,,1e+20,,,,,NED,334.3030090332031,-1.3200000524520874
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19811,J22172+01230,,334.306,1.383,1.04,0.059,5.2,6.1,,1e+20,,,,,NED,334.3059997558594,1.3830000162124634
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19812,J22172-03516,,334.317,-3.86,0.45,0.042,5.4,6.2,,1e+20,,,,,NED,334.3169860839844,-3.859999895095825
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19813,J22172+03410,,334.317,3.684,0.88,0.055,6.3,7.6,,1e+20,,HSCJ221715+034039,14,HSCS J221715+034039,NED,334.3169860839844,3.684000015258789
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19814,J22173+01260,,334.326,1.433,1.605,0.076,5.1,6.5,,1e+20,,,,,NED,334.32598876953125,1.4329999685287476
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19815,J22173-01062,,334.333,-1.103,0.55,0.045,6.0,7.1,,1e+20,,,,,NED,334.3330078125,-1.1030000448226929
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19816,J22174+03402,,334.351,3.67,1.32,0.067,5.5,6.8,,1e+20,,,,,NED,334.35101318359375,3.6700000762939453
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19817,J22174-00104,,334.353,-0.173,0.36,0.039,6.6,7.8,,0.331,12,RMJ221723.3-001016.5,"12,14",[RRB2014] RM J221723.3-001016.5,NED,334.3529968261719,-0.17299999296665192
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19818,J22174-00020,,334.36,-0.033,1.48,0.072,5.2,6.6,,1e+20,,,,,NED,334.3599853515625,-0.032999999821186066
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19819,J22174-01378,,334.369,-1.63,1.34,0.068,5.1,6.2,,1e+20,,,,,NED,334.3689880371094,-1.6299999952316284
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19820,J22175+04008,,334.38,4.014,0.97,0.057,5.0,5.9,,1e+20,,,,,NED,334.3800048828125,4.013999938964844
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19821,J22175+03094,,334.391,3.157,0.62,0.047,5.7,6.7,,1e+20,,HSCJ221736+031005,14,HSCS J221736+031005,NED,334.3909912109375,3.1570000648498535
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19822,J22175+04326,,334.396,4.544,1.565,0.074,5.8,7.4,,1e+20,,,,,NED,334.39599609375,4.544000148773193
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19823,J22175-03318,,334.398,-3.53,0.62,0.047,6.5,7.8,,1e+20,,,,,NED,334.39801025390625,-3.5299999713897705
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19824,J22176+03412,,334.414,3.687,1.03,0.059,5.5,6.5,,1e+20,,,,,NED,334.41400146484375,3.687000036239624
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19825,J22176-02048,,334.416,-2.08,1.24,0.065,6.2,7.8,,1e+20,,,,,NED,334.4159851074219,-2.0799999237060547
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19826,J22176-02350,,334.419,-2.583,1.61,0.076,5.1,6.5,,1e+20,,,,,NED,334.41900634765625,-2.5829999446868896
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19827,J22176-00582,,334.42,-0.97,1.34,0.068,6.0,7.7,,1e+20,,,,,NED,334.4200134277344,-0.9700000286102295
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19828,J22177+00316,,334.44,0.527,0.52,0.044,5.7,6.7,,1e+20,,,,,NED,334.44000244140625,0.5270000100135803
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19829,J22177+00234,,334.443,0.39,0.88,0.055,6.5,8.0,,1e+20,,,,,NED,334.4429931640625,0.38999998569488525
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19830,J22178-02402,,334.459,-2.67,0.39,0.04,5.5,6.3,,1e+20,,,,,NED,334.4590148925781,-2.6700000762939453
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19831,J22178+01330,,334.473,1.55,0.65,0.048,7.1,8.6,,1e+20,,,,,NED,334.4729919433594,1.5499999523162842
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19832,J22179+03266,,334.475,3.444,0.44,0.042,5.8,6.7,,1e+20,,,,,NED,334.4750061035156,3.444000005722046
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19833,J22179-03228,,334.488,-3.38,0.42,0.041,5.6,6.5,,1e+20,,,,,NED,334.4880065917969,-3.380000114440918
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19834,J22180+00514,,334.503,0.857,0.32,0.038,5.3,6.0,,0.277,12,RMJ221802.2+005109.4,"12,14",[RRB2014] RM J221802.2+005109.4,NED,334.50299072265625,0.8569999933242798
