catalog,vizier_source,vizier_table,recno,Zwicky,RA1950,DE1950,Type,GalCnt,Diam,DistGroup,GLON,GLAT,RLamb,XLamb,YLamb,SGLON,SGLAT,ClusRad,ClusArea,Pop,_RA.icrs,_DE.icrs,RA_deg,Dec_deg
zwicky,VII/4A/zwicky,VII/4A/zwicky,733,733,02 36.2,+32 49,2,211,18.0,1,147.63,-24.62,-1.0802,0.5783,-0.9124,336.11,-11.93,1.68,8.854,23,02 39 13.2,+33 01 54,39.80499999999999,33.031666666666666
zwicky,VII/4A/zwicky,VII/4A/zwicky,734,734,02 36.2,+34 17,2,81,1.6,5,146.93,-23.3,-1.0995,0.6,-0.9214,337.43,-11.25,0.15,0.07,1157,02 39 14.8,+34 29 54,39.81166666666666,34.498333333333335
zwicky,VII/4A/zwicky,VII/4A/zwicky,735,735,02 37.1,+02 32,2,79,2.0,4,168.33,-50.33,-0.6786,0.1373,-0.6646,306.91,-24.28,0.19,0.109,722,02 39 41.7,+02 44 52,39.92374999999999,2.747777777777778
zwicky,VII/4A/zwicky,VII/4A/zwicky,736,736,02 37.1,+19 27,3,102,2.1,5,155.13,-36.33,-0.9028,0.3797,-0.8191,323.79,-18.03,0.2,0.121,846,02 39 54.9,+19 39 52,39.97874999999999,19.66444444444444
zwicky,VII/4A/zwicky,VII/4A/zwicky,737,737,02 37.2,-01 46,3,110,1.0,5,172.94,-53.56,-0.6253,0.0769,-0.6205,302.39,-25.59,0.09,0.027,4025,02 39 44.5,-01 33 08,39.93541666666666,-1.5522222222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,738,738,02 37.2,+25 14,3,45,0.5,5,151.77,-31.27,-0.9808,0.4639,-0.8641,329.25,-15.57,0.05,0.007,6587,02 40 05.9,+25 26 51,40.024583333333325,25.4475
zwicky,VII/4A/zwicky,VII/4A/zwicky,739,739,02 37.3,+03 38,2,88,1.6,5,167.32,-49.44,-0.6932,0.1522,-0.6762,308.07,-23.97,0.15,0.07,1257,02 39 54.5,+03 50 52,39.97708333333333,3.847777777777778
zwicky,VII/4A/zwicky,VII/4A/zwicky,740,740,02 37.6,+36 18,3,59,1.3,5,146.26,-21.36,-1.1276,0.6263,-0.9377,339.38,-10.55,0.12,0.046,1277,02 40 41.3,+36 30 50,40.172083333333326,36.513888888888886
zwicky,VII/4A/zwicky,VII/4A/zwicky,741,741,02 37.8,-01 20,2,55,1.2,5,172.63,-53.14,-0.6322,0.0811,-0.627,302.9,-25.61,0.11,0.039,1397,02 40 20.8,-01 07 10,40.08666666666666,-1.1194444444444445
zwicky,VII/4A/zwicky,VII/4A/zwicky,742,742,02 38.3,+03 21,2,83,2.2,5,167.89,-49.51,-0.6921,0.1452,-0.6767,307.86,-24.3,0.21,0.132,627,02 40 54.3,+03 33 49,40.22624999999999,3.563611111111111
zwicky,VII/4A/zwicky,VII/4A/zwicky,743,743,02 39.3,+25 50,3,69,1.0,5,151.92,-30.52,-0.9922,0.467,-0.8754,330.02,-15.72,0.09,0.027,2525,02 42 12.7,+26 02 46,40.55291666666667,26.046111111111113
zwicky,VII/4A/zwicky,VII/4A/zwicky,744,744,02 39.4,+14 02,2,120,1.5,5,159.34,-40.67,-0.8346,0.2944,-0.7809,318.77,-20.72,0.14,0.061,1951,02 42 08.6,+14 14 46,40.535833333333336,14.24611111111111
zwicky,VII/4A/zwicky,VII/4A/zwicky,745,745,02 39.9,+21 47,3,59,0.7,5,154.4,-33.99,-0.9392,0.4058,-0.847,326.29,-17.63,0.07,0.013,4406,02 42 45.1,+21 59 44,40.687916666666666,21.995555555555555
zwicky,VII/4A/zwicky,VII/4A/zwicky,746,746,02 40.2,+27 50,3,91,1.5,5,151.04,-28.66,-1.0202,0.494,-0.8926,331.97,-15.01,0.14,0.061,1480,02 43 08.7,+28 02 43,40.786249999999995,28.04527777777778
zwicky,VII/4A/zwicky,VII/4A/zwicky,747,747,02 40.2,+41 40,2,105,3.5,2,144.28,-16.3,-1.1994,0.7002,-0.9738,344.39,-8.38,0.33,0.335,313,02 43 24.5,+41 52 43,40.85208333333333,41.87861111111111
zwicky,VII/4A/zwicky,VII/4A/zwicky,748,748,02 40.3,+01 05,2,96,2.1,5,170.76,-50.93,-0.6688,0.1074,-0.6602,305.66,-25.48,0.2,0.121,796,02 42 52.6,+01 17 43,40.71916666666666,1.2952777777777778
zwicky,VII/4A/zwicky,VII/4A/zwicky,749,749,02 40.5,+10 37,1,122,3.6,3,162.2,-43.36,-0.7917,0.242,-0.7538,315.48,-22.27,0.34,0.354,344,02 43 12.0,+10 49 43,40.8,10.82861111111111
zwicky,VII/4A/zwicky,VII/4A/zwicky,750,750,02 40.6,+07 40,1,290,20.8,1,164.64,-45.74,-0.7534,0.1995,-0.7265,312.52,-23.37,1.94,11.822,24,02 43 15.7,+07 52 42,40.815416666666664,7.878333333333334
zwicky,VII/4A/zwicky,VII/4A/zwicky,751,751,02 40.6,+19 33,1,111,2.9,3,155.95,-35.83,-0.9106,0.3711,-0.8316,324.24,-18.74,0.27,0.23,483,02 43 25.2,+19 45 42,40.855,19.761666666666667
zwicky,VII/4A/zwicky,VII/4A/zwicky,752,752,02 40.7,+12 59,1,74,3.8,4,160.46,-41.38,-0.8234,0.2755,-0.776,317.86,-21.42,0.35,0.395,187,02 43 25.8,+13 11 42,40.857499999999995,13.195
zwicky,VII/4A/zwicky,VII/4A/zwicky,753,753,02 40.8,-01 10,2,180,2.5,5,173.35,-52.51,-0.6427,0.0744,-0.6384,303.32,-26.28,0.23,0.171,1053,02 43 20.9,-00 57 18,40.837083333333325,-0.955
zwicky,VII/4A/zwicky,VII/4A/zwicky,754,754,02 40.8,+28 25,2,56,2.0,5,150.86,-28.08,-1.0288,0.5011,-0.8986,332.58,-14.86,0.19,0.109,512,02 43 45.4,+28 37 41,40.939166666666665,28.628055555555555
zwicky,VII/4A/zwicky,VII/4A/zwicky,755,755,02 40.9,+19 05,2,64,1.9,5,156.32,-36.19,-0.905,0.3635,-0.8288,323.83,-19.0,0.18,0.099,648,02 43 42.9,+19 17 41,40.928749999999994,19.294722222222223
zwicky,VII/4A/zwicky,VII/4A/zwicky,756,756,02 41.0,+04 02,3,68,1.9,5,168.03,-48.55,-0.7077,0.1467,-0.6923,308.82,-24.71,0.18,0.099,689,02 43 36.9,+04 14 41,40.903749999999995,4.244722222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,757,757,02 41.0,+36 17,3,74,2.5,4,146.93,-21.07,-1.1318,0.6176,-0.9484,339.71,-11.16,0.23,0.171,433,02 44 05.8,+36 29 40,41.02416666666666,36.49444444444445
zwicky,VII/4A/zwicky,VII/4A/zwicky,758,758,02 41.2,+35 58,2,313,13.5,1,147.12,-21.34,-1.1279,0.6124,-0.9472,339.44,-11.35,1.26,4.98,62,02 44 17.5,+36 10 40,41.072916666666664,36.17777777777778
zwicky,VII/4A/zwicky,VII/4A/zwicky,759,759,02 41.9,+28 52,2,92,2.0,5,150.86,-27.57,-1.0365,0.5048,-0.9052,333.1,-14.86,0.19,0.109,841,02 44 51.9,+29 04 38,41.216249999999995,29.077222222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,760,760,02 42.2,+26 52,3,95,2.2,5,152.01,-29.3,-1.0106,0.4743,-0.8924,331.29,-15.84,0.21,0.132,718,02 45 08.0,+27 04 37,41.283333333333324,27.076944444444443
zwicky,VII/4A/zwicky,VII/4A/zwicky,761,761,02 42.2,+33 23,3,45,0.8,5,148.58,-23.55,-1.0959,0.5712,-0.9352,337.23,-12.77,0.07,0.017,2573,02 45 14.7,+33 35 37,41.311249999999994,33.593611111111116
zwicky,VII/4A/zwicky,VII/4A/zwicky,762,762,02 42.8,+29 16,2,56,1.6,5,150.84,-27.13,-1.0431,0.5083,-0.9109,333.56,-14.85,0.15,0.07,800,02 45 46.5,+29 28 35,41.443749999999994,29.476388888888888
zwicky,VII/4A/zwicky,VII/4A/zwicky,763,763,02 42.9,+03 11,3,75,1.8,5,169.41,-48.91,-0.7019,0.129,-0.69,308.09,-25.44,0.17,0.089,847,02 45 30.3,+03 23 36,41.37625,3.393333333333333
zwicky,VII/4A/zwicky,VII/4A/zwicky,764,764,02 42.9,+27 34,3,152,2.1,5,151.78,-28.61,-1.0209,0.4828,-0.8996,332.01,-15.66,0.2,0.121,1261,02 45 50.8,+27 46 35,41.461666666666666,27.77638888888889
zwicky,VII/4A/zwicky,VII/4A/zwicky,765,765,02 43.2,-00 54,2,121,2.0,4,173.76,-51.91,-0.6527,0.0709,-0.6488,303.79,-26.77,0.19,0.109,1107,02 45 45.1,-00 41 25,41.43791666666666,-0.6902777777777778
zwicky,VII/4A/zwicky,VII/4A/zwicky,766,766,02 44.0,+05 19,2,119,7.0,2,167.7,-47.09,-0.7316,0.1559,-0.7148,310.42,-24.98,0.65,1.339,88,02 46 37.9,+05 31 33,41.657916666666665,5.525833333333333
zwicky,VII/4A/zwicky,VII/4A/zwicky,767,767,02 44.2,+03 43,2,83,1.8,4,169.26,-48.29,-0.712,0.1326,-0.6995,308.77,-25.57,0.17,0.089,937,02 46 48.7,+03 55 32,41.70291666666666,3.9255555555555555
zwicky,VII/4A/zwicky,VII/4A/zwicky,768,768,02 44.2,+33 44,3,94,1.7,5,148.81,-23.04,-1.1032,0.5713,-0.9438,337.75,-12.97,0.16,0.079,1190,02 47 15.4,+33 56 31,41.81416666666666,33.94194444444444
