catalog,vizier_source,vizier_table,recno,Index,Name,GLON,GLAT,RAJ2000,DEJ2000,e_pos,SNR,Pipeline,PipeDet,PCCS2,PSZ,f_IR,q_neural,Y5R500,e_Y5R500,Val,zID,z,MSZ,E_MSZ,e_MSZ,MCXC,RedMAPPer,ACT,SPT,f_WISE,AMIevi,COSMO,Comment,Simbad,RA_deg,Dec_deg
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,21,21,PSZ2 G006.49+50.56,6.4985545,50.5633108,227.72895,5.7681015,2.117182,23.17088,2,111,0,17,0,0.992896,22.963346,2.115045,21,A2029,0.0766,7.039484,0.199073,0.193102,J1510.9+0543,RMJ151100.1+054658.0,,,-10,-1000.0,1,,Simbad,227.72895,5.7681015
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,22,22,PSZ2 G006.68-35.55,6.6887278,-35.5551601,308.7059326,-35.8250814,2.401851,11.85154,2,111,0,18,0,0.981821,11.718791,2.151682,21,RXCJ2034.7-3548,0.0894,4.166683,0.232628,0.237041,J2034.7-3548,,,,-10,-1000.0,1,,Simbad,308.7059326,-35.8250814
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,23,23,PSZ2 G006.76+30.45,6.7683149,30.4540352,243.9548801,-6.1523633,2.29601,35.01054,2,111,0,19,0,0.994178,23.533632,1.633278,21,RXCJ1615.7-0608,0.203,16.116468,0.296833,0.292221,J1615.7-0608,,,,-10,-1000.0,0,,Simbad,243.9548801,-6.1523633
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,24,24,PSZ2 G006.82-34.71,6.8237547,-34.7132534,307.710992,-35.5641276,2.428786,5.0221,1,100,0,20,0,0.92593,1.749919,0.802183,21,RXCJ2030.7-3532,0.1398,3.152574,0.402348,0.436777,J2030.7-3532,,,,-10,-1000.0,0,,Simbad,307.710992,-35.5641276
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,25,25,PSZ2 G006.84+50.69,6.844326,50.6938664,227.7552391,6.0220111,7.178472,5.73192,2,10,0,999999,0,0.980618,36.784466,7.59671,13,,0.075728,1.844416,0.742635,0.744162,,,,,-10,-1000.0,0,,Simbad,227.7552391,6.0220111
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,26,26,PSZ2 G007.57-33.90,7.5766904,-33.9026915,306.8860604,-34.7965297,3.390816,4.82758,2,110,0,21,0,0.996469,1.142332,0.356096,20,,0.55,6.273721,0.734868,0.802158,,,,,3,-1000.0,0,,Simbad,306.8860604,-34.7965297
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,27,27,PSZ2 G007.67-43.18,7.6718551,-43.187672,318.179579,-36.0843971,2.428765,5.38838,1,110,0,999999,0,0.996568,1.717919,0.639196,16,,-1.0,1e+20,1e+20,1e+20,,,,,3,-1000.0,0,,Simbad,318.179579,-36.0843971
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,28,28,PSZ2 G007.76-36.83,7.7675376,-36.8354903,310.439291,-35.1877584,3.519234,5.74397,3,111,0,22,0,0.963702,5.116889,1.672873,20,ACO  3705,0.089462,2.638609,0.268698,0.282619,,,,,-10,-1000.0,0,,Simbad,310.439291,-35.1877584
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,29,29,PSZ2 G008.31-64.74,8.3180874,-64.7469108,344.6782281,-34.7882452,1.943902,10.9472,3,111,0,23,0,0.981501,4.499007,0.810077,20,ACO S 1077,0.312,7.745729,0.41188,0.396772,,,,,3,-1000.0,1,,Simbad,344.6782281,-34.7882452
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,30,30,PSZ2 G008.47-56.34,8.474477,-56.3420895,334.4436414,-35.7155681,3.529226,10.0536,2,111,0,24,0,0.988582,4.861932,1.034622,21,RXCJ2217.7-3543,0.1486,4.791958,0.304431,0.288075,J2217.7-3543,,,,-10,-1000.0,1,,Simbad,334.4436414,-35.7155681
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,31,31,PSZ2 G008.70-31.44,8.7077995,-31.4420676,304.2413269,-33.32638,4.113153,5.34288,3,1,1,999999,0,0.000104,3.311037,1.102927,-1,,-1.0,1e+20,1e+20,1e+20,,,,,-3,-1000.0,0,"Point sources at: 545GHz, 857GHz,",Simbad,304.2413269,-33.32638
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,194,194,PSZ2 G048.47+34.86,48.4711178,34.8603694,255.535051,27.1466809,2.428366,5.74142,1,100,0,999999,0,0.846492,4.896671,2.294585,-1,,-1.0,1e+20,1e+20,1e+20,,,,,0,-1000.0,0,,Simbad,255.535051,27.1466809
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,32,32,PSZ2 G008.80-35.18,8.8051298,-35.1896221,308.6595074,-34.0615138,2.744902,6.28531,2,111,0,25,0,0.99795,3.050046,1.333093,21,RXCJ2034.7-3404,0.0936,2.975521,0.286146,0.328333,J2034.7-3404,,,,-10,-1000.0,1,,Simbad,308.6595074,-34.0615138
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,33,33,PSZ2 G008.94-81.22,8.9464666,-81.2232194,3.5590615,-30.387616,2.428814,15.31582,1,111,1,26,0,0.995436,4.099188,0.551316,21,RXCJ0014.3-3023,0.3066,9.835684,0.39472,0.37541,J0014.3-3023,,,,3,-1000.0,1,"Point sources at: 217GHz,",Simbad,3.5590615,-30.387616
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,34,34,PSZ2 G009.04+31.09,9.0477339,31.097036,244.5860131,-4.1892994,3.494064,5.0428,2,110,0,999999,0,0.979366,2.331487,1.004099,-1,,-1.0,1e+20,1e+20,1e+20,,,,,-3,-1000.0,0,,Simbad,244.5860131,-4.1892994
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,35,35,PSZ2 G009.45-56.93,9.4592545,-56.9394852,335.1335605,-35.1375985,1.704934,7.29635,2,111,0,27,0,0.953018,1.614532,0.503806,21,RXCJ2220.5-3509,0.1544,4.021076,0.349856,0.361679,J2220.5-3509,,,,-10,-1000.0,1,,Simbad,335.1335605,-35.1375985
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,36,36,PSZ2 G010.76-16.91,10.7686948,-16.9184221,288.9423815,-26.9947969,5.867899,4.63515,2,10,0,999999,0,0.98758,2.804104,1.010204,-1,,-1.0,1e+20,1e+20,1e+20,,,,,-3,-1000.0,0,,Simbad,288.9423815,-26.9947969
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,37,37,PSZ2 G011.06-63.84,11.0661837,-63.8407903,343.3862166,-33.7388626,2.861637,5.36425,2,111,0,999999,0,0.947687,1.015567,0.293062,21,RXCJ2253.5-3343,0.224,4.070501,0.466557,0.488097,J2253.5-3343,,,,-10,-1000.0,0,,Simbad,343.3862166,-33.7388626
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,38,38,PSZ2 G011.36+49.42,11.3642368,49.42352,230.4768984,7.673746,3.798602,5.36439,3,111,0,999999,0,0.964931,5.75009,2.174539,21,RXC J1521.8+0742,0.0442,1.869686,0.201766,0.211982,J1521.8+0742,RMJ152151.9+074231.7,,,-10,-1000.0,0,,Simbad,230.4768984,7.673746
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,39,39,PSZ2 G011.36-72.93,11.3690552,-72.9314128,354.0538503,-32.1343132,2.428664,6.26367,1,111,0,29,0,0.993455,2.323992,0.913039,16,,-1.0,1e+20,1e+20,1e+20,,,,,3,-1000.0,1,,Simbad,354.0538503,-32.1343132
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,40,40,PSZ2 G011.72-37.96,11.7220629,-37.9615041,312.4504689,-32.2998671,2.413243,5.37476,2,111,0,999999,0,0.889654,1.313732,0.458929,21,MACSJ2049.9-3217,0.323,5.374032,0.589478,0.638055,J2049.9-3216,,,,3,-1000.0,0,,Simbad,312.4504689,-32.2998671
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,41,41,PSZ2 G011.92-63.53,11.92215,-63.5379984,342.9760369,-33.3941814,2.029754,5.72106,3,111,1,31,0,0.890244,1.123627,0.364744,20,ACO  3926,-1.0,1e+20,1e+20,1e+20,,,,,3,-1000.0,0,"Point sources at: 353GHz,",Simbad,342.9760369,-33.3941814
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,42,42,PSZ2 G012.59-20.10,12.5932251,-20.1076462,292.9782279,-26.5666362,1.965772,7.0115,3,111,0,33,0,0.996469,1.892393,0.546807,21,MACSJ1931.8-2634,0.352,6.974438,0.525899,0.563455,J1931.8-2634,,,,-3,-1000.0,1,,Simbad,292.9782279,-26.5666362
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,43,43,PSZ2 G012.81+49.68,12.8139096,49.6881922,230.7673885,8.6073949,3.708447,6.75556,3,111,0,35,0,0.98746,10.043136,3.27315,21,RXC J1523.0+0836,0.0355,1.898151,0.174993,0.179596,J1523.0+0836,RMJ152305.3+083633.2,,,-10,-1000.0,1,,Simbad,230.7673885,8.6073949
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,44,44,PSZ2 G013.06-75.46,13.0636031,-75.4675989,356.8526134,-31.1508624,2.948289,5.28891,3,111,0,999999,0,0.952714,1.745485,0.726235,-1,,-1.0,1e+20,1e+20,1e+20,,,,,2,-1000.0,0,,Simbad,356.8526134,-31.1508624
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,45,45,PSZ2 G013.74-45.53,13.7460417,-45.5326185,321.5663381,-32.0254458,2.425529,5.18606,2,10,0,999999,0,0.981778,0.87359,0.205492,30,ABELL S0946,0.323033,4.810649,0.564473,0.593464,,,,,3,-1000.0,0,,Simbad,321.5663381,-32.0254458
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,46,46,PSZ2 G014.09+38.38,14.0978298,38.3878702,240.856142,3.3223744,4.699918,5.20146,2,111,0,36,0,0.579039,2.499135,1.047715,20,WHL J240.829+3.279,0.2222,4.725769,0.54516,0.593411,,RMJ160319.0+031644.6,,,-10,-1000.0,0,,Simbad,240.856142,3.3223744
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,47,47,PSZ2 G014.33+60.23,14.337479,60.2335825,221.9786505,14.7693644,2.428058,4.99666,1,100,0,999999,0,0.98775,2.647059,1.236014,24,RMJ144756.9+144532.6,0.219834,4.365911,0.531632,0.550212,,RMJ144756.9+144532.6,,,-10,-1000.0,0,,Simbad,221.9786505,14.7693644
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,48,48,PSZ2 G014.72-62.49,14.7211121,-62.4963702,341.6334404,-32.2011155,2.428742,5.21311,1,111,0,37,0,0.982519,2.630672,1.267629,-1,,-1.0,1e+20,1e+20,1e+20,,,,,2,-1000.0,0,,Simbad,341.6334404,-32.2011155
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,49,49,PSZ2 G015.75-28.66,15.7507902,-28.6645921,303.0771843,-26.7054291,3.602154,4.76452,2,10,0,39,0,0.905032,1.809514,0.893988,20,,0.149,3.260183,0.39348,0.426908,,,,,-10,-1000.0,0,,Simbad,303.0771843,-26.7054291
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,50,50,PSZ2 G017.25-70.71,17.2572847,-70.7167436,351.1688847,-30.6510697,2.428759,5.19466,1,100,0,999999,0,0.924171,1.121544,0.421026,-1,,-1.0,1e+20,1e+20,1e+20,,,,,-3,-1000.0,0,,Simbad,351.1688847,-30.6510697
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,51,51,PSZ2 G017.72-51.40,17.7262023,-51.4041786,328.7492675,-30.1324674,2.428909,4.53554,1,100,0,999999,0,0.980951,2.32493,1.113378,-1,,-1.0,1e+20,1e+20,1e+20,,,,,0,-1000.0,0,,Simbad,328.7492675,-30.1324674
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,52,52,PSZ2 G018.06-36.38,18.0668783,-36.3828834,311.9957084,-27.0195059,4.019213,5.64942,2,11,0,42,0,0.993672,1.054178,0.235879,20,ACO  3714,-1.0,1e+20,1e+20,1e+20,,,,,2,-1000.0,0,,Simbad,311.9957084,-27.0195059
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,53,53,PSZ2 G018.18-60.00,18.1852984,-60.0059259,338.7121482,-30.5418645,2.39743,6.35725,2,111,1,44,0,0.990221,1.388275,0.468117,21,RXC J2234.8-3033,0.2515,4.868449,0.449366,0.473501,J2234.8-3033,,,,-10,-1000.0,1,"Point sources at: 545GHz,",Simbad,338.7121482,-30.5418645
