catalog,vizier_source,vizier_table,recno,XLSSC,RAJ2000,DEJ2000,z,Ngal,Class,Mgas500kpc,E_Mgas500kpc,e_Mgas500kpc,r500MT,T300kpc,E_T300kpc,e_T300kpc,LXXL500MT,e_LXXL500MT,F60,e_F60,Flags,RA_deg,Dec_deg
xxl,IX/52/xxl365gc,IX/52/xxl365gc,140,103,36.886,-5.961,0.233,8,1,54.6,2.45,2.71,764,2.53,0.4,0.34,11.02,1.28,43,5,+l,36.88600158691406,-5.960999965667725
xxl,IX/52/xxl365gc,IX/52/xxl365gc,141,3,36.909,-3.3,0.836,6,1,105.46,2.34,2.18,649,3.48,0.24,0.25,124.78,8.03,34,4,+l,36.909000396728516,-3.299999952316284
xxl,IX/52/xxl365gc,IX/52/xxl365gc,142,22,36.917,-4.858,0.293,18,1,51.27,1.46,1.51,646,1.98,0.13,0.12,29.68,1.72,74,3,+l,36.91699981689453,-4.857999801635742
xxl,IX/52/xxl365gc,IX/52/xxl365gc,143,27,37.012,-4.851,0.295,10,1,54.49,1.68,1.67,770,2.72,0.41,0.4,15.51,1.41,37,3,+l,37.012001037597656,-4.85099983215332
xxl,IX/52/xxl365gc,IX/52/xxl365gc,144,121,37.015,-5.297,0.317,6,2,24.32,3.64,5.37,1090,2.18,0.34,0.33,6.26,0.96,9,3,,37.01499938964844,-5.296999931335449
xxl,IX/52/xxl365gc,IX/52/xxl365gc,145,90,37.121,-4.857,0.141,11,1,14.49,2.17,2.37,500,1.09,0.12,0.07,4.25,0.46,45,4,+l,37.12099838256836,-4.85699987411499
xxl,IX/52/xxl365gc,IX/52/xxl365gc,146,89,37.127,-4.733,0.609,7,1,80.22,8.34,9.61,560,2.11,0.4,0.39,46.18,8.35,32,4,+l,37.12699890136719,-4.732999801635742
xxl,IX/52/xxl365gc,IX/52/xxl365gc,147,104,37.324,-5.895,0.294,6,1,51.5,2.62,2.77,16959,1e+20,1e+20,1e+20,1e+20,1e+20,46,4,+l,37.32400131225586,-5.894999980926514
xxl,IX/52/xxl365gc,IX/52/xxl365gc,148,168,37.387,-5.88,0.295,9,1,82.54,2.04,1.95,677,2.16,0.36,0.31,19.16,1.98,34,4,l,37.387001037597656,-5.880000114440918
xxl,IX/52/xxl365gc,IX/52/xxl365gc,149,145,37.388,-4.666,0.627,8,2,51.27,6.42,6.67,16959,1e+20,1e+20,1e+20,1e+20,1e+20,15,3,l,37.38800048828125,-4.665999889373779
xxl,IX/52/xxl365gc,IX/52/xxl365gc,150,146,37.462,-4.15,0.254,7,1,12.12,3.56,4.23,633,1.84,0.26,0.28,3.12,0.46,10,2,,37.46200180053711,-4.150000095367432
xxl,IX/52/xxl365gc,IX/52/xxl365gc,151,169,37.538,-5.679,0.498,6,1,75.24,3.43,3.56,933,4.7,0.98,1.05,44.25,7.12,29,5,l,37.53799819946289,-5.678999900817871
xxl,IX/52/xxl365gc,IX/52/xxl365gc,152,88,37.611,-4.581,0.295,7,1,57.47,2.34,2.48,632,1.91,0.27,0.24,13.21,1.91,35,4,+l,37.611000061035156,-4.580999851226807
xxl,IX/52/xxl365gc,IX/52/xxl365gc,153,149,37.634,-4.989,0.292,9,2,39.72,3.68,4.2,16959,1e+20,1e+20,1e+20,1e+20,1e+20,22,3,*l,37.63399887084961,-4.988999843597412
xxl,IX/52/xxl365gc,IX/52/xxl365gc,154,147,37.641,-4.625,0.031,4,2,0.15,0.35,0.05,16959,1e+20,1e+20,1e+20,1e+20,1e+20,22,4,lF,37.64099884033203,-4.625
xxl,IX/52/xxl365gc,IX/52/xxl365gc,155,150,37.661,-4.992,0.292,9,1,46.53,3.03,3.59,653,2.02,0.4,0.29,12.35,1.8,28,4,*l,37.6609992980957,-4.992000102996826
xxl,IX/52/xxl365gc,IX/52/xxl365gc,156,148,37.719,-4.859,0.294,3,2,4.61,5.6,3.7,784,1.19,0.06,0.08,6.02,0.39,23,6,l,37.71900177001953,-4.859000205993652
xxl,IX/52/xxl365gc,IX/52/xxl365gc,157,87,37.72,-4.348,0.141,5,1,33.55,1.73,2.03,622,1.61,0.12,0.11,12.69,1.1,122,6,+l,37.720001220703125,-4.3480000495910645
xxl,IX/52/xxl365gc,IX/52/xxl365gc,158,91,37.926,-4.881,0.186,41,1,148.27,0.92,0.87,1162,5.15,0.31,0.31,131.43,3.89,386,8,+l,37.92599868774414,-4.88100004196167
xxl,IX/52/xxl365gc,IX/52/xxl365gc,159,170,37.998,-5.737,0.403,3,2,32.97,5.28,5.73,931,1.74,0.3,0.22,15.96,2.67,19,3,l,37.99800109863281,-5.736999988555908
xxl,IX/52/xxl365gc,IX/52/xxl365gc,160,152,38.082,-4.817,0.205,7,2,3.59,1.98,1.34,652,0.81,0.16,0.15,1.89,0.32,10,3,,38.082000732421875,-4.816999912261963
xxl,IX/52/xxl365gc,IX/52/xxl365gc,161,151,38.122,-4.788,0.189,6,1,13.83,2.79,2.84,658,1.86,0.27,0.3,6.62,0.76,28,3,*l,38.12200164794922,-4.788000106811523
xxl,IX/52/xxl365gc,IX/52/xxl365gc,162,105,38.411,-5.506,0.432,7,1,130.07,2.95,2.85,1110,6.01,0.79,0.91,142.2,13.55,129,7,+l,38.4109992980957,-5.50600004196167
xxl,IX/52/xxl365gc,IX/52/xxl365gc,163,153,38.49,-5.139,0.88,8,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,11,4,,38.4900016784668,-5.138999938964844
xxl,IX/52/xxl365gc,IX/52/xxl365gc,164,154,38.502,-4.826,0.179,8,1,14.97,4.41,5.24,511,1.17,0.06,0.08,2.43,0.14,22,4,l,38.50199890136719,-4.826000213623047
xxl,IX/52/xxl365gc,IX/52/xxl365gc,165,553,348.341,-53.741,0.046,3,1,2.63,1.34,1.2,421,0.74,0.06,0.06,0.32,0.03,16,3,l,348.34100341796875,-53.74100112915039
xxl,IX/52/xxl365gc,IX/52/xxl365gc,166,502,348.442,-53.438,0.141,6,1,27.37,1.56,1.59,521,1.17,0.06,0.08,5.98,0.56,65,4,+l,348.4419860839844,-53.4379997253418
xxl,IX/52/xxl365gc,IX/52/xxl365gc,167,642,348.529,-54.802,0.316,1,2,10.85,4.59,3.45,686,0.95,0.2,0.15,0.99,0.19,11,3,,348.52899169921875,-54.801998138427734
xxl,IX/52/xxl365gc,IX/52/xxl365gc,168,554,348.719,-53.626,0.203,3,2,3.22,2.42,1.55,16959,1e+20,1e+20,1e+20,1e+20,1e+20,12,3,F,348.718994140625,-53.625999450683594
xxl,IX/52/xxl365gc,IX/52/xxl365gc,169,530,348.833,-54.345,0.204,6,1,40.04,1.84,2.05,615,1.67,0.26,0.14,9.04,0.95,45,4,+l,348.8330078125,-54.345001220703125
xxl,IX/52/xxl365gc,IX/52/xxl365gc,170,501,348.873,-53.063,0.333,7,1,65.16,2.33,2.51,814,3.12,0.43,0.44,29.9,3.74,60,5,+l,348.87298583984375,-53.0629997253418
xxl,IX/52/xxl365gc,IX/52/xxl365gc,171,640,348.945,-54.962,0.684,3,2,38.15,9.0,11.95,810,1.64,0.29,0.29,38.01,6.37,9,3,,348.94500732421875,-54.96200180053711
xxl,IX/52/xxl365gc,IX/52/xxl365gc,172,636,349.021,-55.594,0.201,1,1,56.52,2.58,3.11,16959,1e+20,1e+20,1e+20,1e+20,1e+20,100,14,l,349.02099609375,-55.59400177001953
xxl,IX/52/xxl365gc,IX/52/xxl365gc,173,593,349.067,-54.249,0.335,3,1,15.33,5.25,6.21,717,2.49,0.44,0.4,9.27,1.3,16,2,l,349.0669860839844,-54.249000549316406
xxl,IX/52/xxl365gc,IX/52/xxl365gc,174,615,349.091,-54.878,0.567,4,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,7,4,,349.09100341796875,-54.87799835205078
xxl,IX/52/xxl365gc,IX/52/xxl365gc,175,616,349.122,-55.759,0.49,1,2,54.42,5.81,8.36,1791,5.97,1.11,1.12,50.65,8.88,28,5,l,349.12200927734375,-55.75899887084961
xxl,IX/52/xxl365gc,IX/52/xxl365gc,176,594,349.155,-56.236,0.232,2,1,10.22,4.75,4.28,527,1.3,0.18,0.12,3.1,0.44,18,3,l,349.1549987792969,-56.236000061035156
xxl,IX/52/xxl365gc,IX/52/xxl365gc,177,513,349.221,-54.902,0.378,5,1,109.31,2.47,2.37,998,4.7,0.57,0.75,72.35,6.44,112,7,+l,349.22100830078125,-54.902000427246094
xxl,IX/52/xxl365gc,IX/52/xxl365gc,178,556,349.264,-53.004,0.489,6,1,63.31,4.24,4.38,789,3.45,0.78,0.68,29.06,4.32,24,3,l,349.2640075683594,-53.00400161743164
xxl,IX/52/xxl365gc,IX/52/xxl365gc,179,525,349.339,-53.962,0.379,2,1,96.41,2.73,3.49,788,3.08,0.35,0.35,69.68,4.9,105,4,+,349.3389892578125,-53.96200180053711
xxl,IX/52/xxl365gc,IX/52/xxl365gc,180,555,349.341,-52.916,0.36,2,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,7,7,,349.34100341796875,-52.91600036621094
xxl,IX/52/xxl365gc,IX/52/xxl365gc,181,560,349.42,-52.739,0.79,2,2,1e+20,1e+20,1e+20,828,1.84,0.12,0.13,27.86,1.78,7,4,F,349.4200134277344,-52.73899841308594
xxl,IX/52/xxl365gc,IX/52/xxl365gc,182,557,349.453,-53.264,0.274,2,2,16.17,5.65,5.75,708,0.98,0.17,0.15,5.45,0.91,18,4,l,349.4530029296875,-53.263999938964844
xxl,IX/52/xxl365gc,IX/52/xxl365gc,183,558,349.508,-52.785,0.455,4,2,58.96,3.15,3.23,897,1.68,0.35,0.25,21.09,3.34,20,4,l,349.50799560546875,-52.78499984741211
xxl,IX/52/xxl365gc,IX/52/xxl365gc,184,527,349.57,-55.984,0.076,5,2,4.78,2.73,1.7,1295,2.57,0.3,0.38,5.2,0.57,48,7,+l,349.57000732421875,-55.98400115966797
xxl,IX/52/xxl365gc,IX/52/xxl365gc,185,592,349.594,-55.833,0.237,2,1,25.66,2.45,2.49,595,1.62,0.3,0.19,5.97,0.85,28,3,l,349.593994140625,-55.83300018310547
xxl,IX/52/xxl365gc,IX/52/xxl365gc,186,559,349.615,-52.831,0.456,2,2,1e+20,1e+20,1e+20,976,1.96,0.35,0.28,12.42,1.98,10,4,,349.614990234375,-52.83100128173828
xxl,IX/52/xxl365gc,IX/52/xxl365gc,187,528,349.682,-56.204,0.302,7,1,53.2,1.8,1.65,823,3.09,0.5,0.49,20.42,2.15,43,3,+l,349.6820068359375,-56.20399856567383
xxl,IX/52/xxl365gc,IX/52/xxl365gc,188,529,349.699,-56.287,0.547,8,1,89.84,3.24,3.21,760,3.42,0.55,0.53,65.76,7.91,50,3,+l,349.6990051269531,-56.2869987487793
xxl,IX/52/xxl365gc,IX/52/xxl365gc,189,579,349.76,-55.389,0.076,4,2,0.64,0.76,0.32,679,0.81,0.08,0.06,0.54,0.05,9,3,,349.760009765625,-55.388999938964844
xxl,IX/52/xxl365gc,IX/52/xxl365gc,190,526,349.802,-54.087,0.276,6,2,93.82,1.54,1.51,16959,1e+20,1e+20,1e+20,1e+20,1e+20,153,31,+l,349.802001953125,-54.08700180053711
xxl,IX/52/xxl365gc,IX/52/xxl365gc,191,544,349.816,-53.534,0.096,19,1,31.0,1.07,1.1,746,2.15,0.2,0.16,8.55,0.52,105,4,+l,349.8160095214844,-53.534000396728516
xxl,IX/52/xxl365gc,IX/52/xxl365gc,192,518,349.822,-55.325,0.177,8,1,23.3,2.13,2.23,531,1.25,0.06,0.08,6.63,0.61,63,4,+l,349.8219909667969,-55.32500076293945
xxl,IX/52/xxl365gc,IX/52/xxl365gc,193,617,349.871,-56.283,0.303,4,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,8,3,,349.8710021972656,-56.28300094604492
xxl,IX/52/xxl365gc,IX/52/xxl365gc,194,531,349.876,-56.649,0.39,10,1,52.74,4.55,4.91,832,3.43,0.63,0.49,25.57,3.95,36,4,+l,349.8760070800781,-56.64899826049805
xxl,IX/52/xxl365gc,IX/52/xxl365gc,195,587,349.935,-54.64,0.525,1,1,29.62,6.85,6.26,728,3.1,0.43,0.43,27.02,3.29,18,2,l,349.93499755859375,-54.63999938964844
xxl,IX/52/xxl365gc,IX/52/xxl365gc,196,578,349.974,-55.287,0.358,1,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,1,4,,349.9739990234375,-55.2869987487793
xxl,IX/52/xxl365gc,IX/52/xxl365gc,197,591,350.099,-53.085,0.275,3,2,1e+20,1e+20,1e+20,509,0.54,0.1,0.09,1.38,0.24,8,3,,350.0989990234375,-53.084999084472656
xxl,IX/52/xxl365gc,IX/52/xxl365gc,198,534,350.105,-53.359,0.852,4,1,104.85,11.94,12.5,734,4.42,0.74,0.81,177.61,26.7,35,4,+l,350.1050109863281,-53.35900115966797
xxl,IX/52/xxl365gc,IX/52/xxl365gc,199,575,350.433,-56.23,0.818,1,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,7,3,,350.4330139160156,-56.22999954223633
xxl,IX/52/xxl365gc,IX/52/xxl365gc,200,517,350.449,-55.971,0.699,3,1,87.05,7.35,7.8,648,3.01,0.64,0.51,58.78,9.02,41,5,+l,350.4490051269531,-55.97100067138672
xxl,IX/52/xxl365gc,IX/52/xxl365gc,201,523,350.503,-54.75,0.342,8,1,68.74,3.17,3.69,806,3.09,0.52,0.45,28.13,3.28,50,5,+l,350.50299072265625,-54.75
xxl,IX/52/xxl365gc,IX/52/xxl365gc,202,576,350.542,-56.312,0.702,1,2,66.82,13.32,20.09,1735,6.53,1.22,1.45,84.99,15.0,28,5,lF,350.5419921875,-56.3120002746582
xxl,IX/52/xxl365gc,IX/52/xxl365gc,203,584,350.542,-55.419,0.348,3,1,22.9,4.29,4.49,696,2.39,0.42,0.37,6.03,0.91,16,3,l,350.5419921875,-55.41899871826172
xxl,IX/52/xxl365gc,IX/52/xxl365gc,204,503,350.646,-52.747,0.336,3,1,58.94,3.22,3.66,593,1.77,0.25,0.22,25.71,3.02,49,5,+l,350.64599609375,-52.74700164794922
xxl,IX/52/xxl365gc,IX/52/xxl365gc,205,545,350.692,-53.388,0.353,7,2,52.44,5.78,5.68,955,1.76,0.41,0.29,17.51,3.11,31,5,+l,350.6919860839844,-53.38800048828125
xxl,IX/52/xxl365gc,IX/52/xxl365gc,206,598,350.711,-52.826,0.444,4,1,46.49,4.68,5.11,826,3.58,0.6,0.51,21.91,3.28,23,4,l,350.71099853515625,-52.82600021362305
xxl,IX/52/xxl365gc,IX/52/xxl365gc,207,597,350.765,-52.725,0.152,4,2,1.05,0.98,0.47,546,0.57,0.05,0.11,0.63,0.09,10,3,F,350.7650146484375,-52.724998474121094
xxl,IX/52/xxl365gc,IX/52/xxl365gc,208,580,351.016,-55.023,0.606,2,2,29.9,8.69,10.52,1464,4.5,0.9,1.02,41.81,7.68,11,3,,351.0159912109375,-55.02299880981445
xxl,IX/52/xxl365gc,IX/52/xxl365gc,209,612,351.203,-55.4,0.275,8,2,1e+20,1e+20,1e+20,938,1.62,0.29,0.27,1.99,0.4,6,3,,351.2030029296875,-55.400001525878906
xxl,IX/52/xxl365gc,IX/52/xxl365gc,210,577,351.386,-55.74,0.207,4,1,3.5,1.98,1.37,440,0.92,0.12,0.12,2.55,0.4,12,3,,351.385986328125,-55.7400016784668
xxl,IX/52/xxl365gc,IX/52/xxl365gc,211,514,351.396,-54.722,0.169,12,1,41.12,1.52,2.11,563,1.38,0.19,0.12,4.78,0.65,40,4,+*l,351.39599609375,-54.72200012207031
xxl,IX/52/xxl365gc,IX/52/xxl365gc,212,515,351.416,-54.741,0.101,18,1,28.64,0.88,0.92,523,1.14,0.08,0.1,3.53,0.37,58,4,+*l,351.4159851074219,-54.74100112915039
xxl,IX/52/xxl365gc,IX/52/xxl365gc,213,627,351.421,-53.193,0.171,3,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,8,3,,351.4209899902344,-53.19300079345703
xxl,IX/52/xxl365gc,IX/52/xxl365gc,214,547,351.427,-53.277,0.371,6,1,74.55,4.09,4.66,881,3.72,0.85,0.66,40.79,4.55,53,6,+l,351.427001953125,-53.277000427246094
xxl,IX/52/xxl365gc,IX/52/xxl365gc,215,611,351.457,-55.381,0.609,2,2,24.5,13.41,24.37,16959,1e+20,1e+20,1e+20,1e+20,1e+20,9,3,,351.4570007324219,-55.38100051879883
xxl,IX/52/xxl365gc,IX/52/xxl365gc,216,535,351.554,-53.317,0.172,16,1,54.68,2.13,2.02,704,2.07,0.19,0.2,21.17,1.78,116,6,+l,351.5539855957031,-53.31700134277344
xxl,IX/52/xxl365gc,IX/52/xxl365gc,217,536,351.557,-53.374,0.169,10,1,33.2,3.32,3.9,645,1.76,0.28,0.17,4.79,0.5,63,5,+l,351.5570068359375,-53.374000549316406
xxl,IX/52/xxl365gc,IX/52/xxl365gc,218,618,351.638,-56.518,0.169,6,1,8.2,2.07,2.12,481,1.04,0.06,0.07,2.63,0.16,25,3,l,351.63800048828125,-56.518001556396484
xxl,IX/52/xxl365gc,IX/52/xxl365gc,219,522,351.638,-55.022,0.395,3,1,50.16,3.01,3.01,672,2.35,0.31,0.24,27.29,2.91,36,2,+l,351.63800048828125,-55.02199935913086
xxl,IX/52/xxl365gc,IX/52/xxl365gc,220,595,351.691,-53.812,0.213,3,1,22.39,2.25,4.21,451,0.96,0.08,0.08,3.95,0.46,25,2,l,351.6910095214844,-53.8120002746582
xxl,IX/52/xxl365gc,IX/52/xxl365gc,221,533,351.712,-52.694,0.107,3,1,54.7,0.89,0.84,746,2.17,0.19,0.07,21.43,0.9,181,6,+l,351.7120056152344,-52.694000244140625
xxl,IX/52/xxl365gc,IX/52/xxl365gc,222,586,351.848,-55.066,0.209,6,1,20.46,2.44,3.38,567,1.45,0.17,0.19,4.61,0.58,28,3,l,351.8479919433594,-55.066001892089844
xxl,IX/52/xxl365gc,IX/52/xxl365gc,223,504,351.93,-52.425,0.351,2,1,29.2,14.23,6.83,16959,1e+20,1e+20,1e+20,1e+20,1e+20,51,7,+l,351.92999267578125,-52.42499923706055
xxl,IX/52/xxl365gc,IX/52/xxl365gc,224,635,352.038,-53.418,0.172,2,2,1e+20,1e+20,1e+20,1140,2.16,0.32,0.31,1.63,0.25,8,3,,352.0379943847656,-53.417999267578125
xxl,IX/52/xxl365gc,IX/52/xxl365gc,225,583,352.04,-55.838,0.8,3,1,70.44,7.85,8.26,797,4.85,0.93,0.85,87.67,12.59,22,3,l,352.0400085449219,-55.8380012512207
xxl,IX/52/xxl365gc,IX/52/xxl365gc,226,621,352.145,-53.821,0.87,1,1,80.17,8.1,7.92,519,2.41,0.45,0.42,84.06,12.98,19,3,l,352.1449890136719,-53.82099914550781
xxl,IX/52/xxl365gc,IX/52/xxl365gc,227,521,352.179,-55.567,0.807,1,1,156.42,8.5,8.41,701,3.88,0.58,0.63,183.68,25.08,67,5,+l,352.1789855957031,-55.56700134277344
xxl,IX/52/xxl365gc,IX/52/xxl365gc,228,550,352.206,-52.577,0.108,7,1,21.06,1.36,1.51,16959,1e+20,1e+20,1e+20,1e+20,1e+20,88,11,l,352.20599365234375,-52.57699966430664
xxl,IX/52/xxl365gc,IX/52/xxl365gc,229,622,352.241,-53.665,0.276,9,2,1e+20,1e+20,1e+20,898,1.5,0.31,0.17,11.36,1.83,20,9,l,352.2409973144531,-53.665000915527344
xxl,IX/52/xxl365gc,IX/52/xxl365gc,230,590,352.25,-54.246,0.101,10,2,1.98,1.29,1.06,571,0.6,0.07,0.06,0.76,0.1,11,3,,352.25,-54.24599838256836
xxl,IX/52/xxl365gc,IX/52/xxl365gc,231,505,352.25,-52.238,0.055,3,1,18.67,1.01,1.01,649,1.62,0.11,0.1,4.21,0.34,192,10,+l,352.25,-52.237998962402344
xxl,IX/52/xxl365gc,IX/52/xxl365gc,232,506,352.315,-52.497,0.717,6,1,87.47,6.58,6.89,534,2.17,0.44,0.39,90.1,17.36,30,6,+l,352.31500244140625,-52.49700164794922
xxl,IX/52/xxl365gc,IX/52/xxl365gc,233,581,352.416,-54.789,0.138,3,1,3.65,1.73,1.1,394,0.71,0.08,0.09,1.64,0.19,21,4,lF,352.4159851074219,-54.78900146484375
xxl,IX/52/xxl365gc,IX/52/xxl365gc,234,546,352.416,-53.249,0.792,2,1,85.83,6.17,5.71,602,2.91,0.45,0.5,105.43,13.12,37,3,+l,352.4159851074219,-53.249000549316406
xxl,IX/52/xxl365gc,IX/52/xxl365gc,235,512,352.484,-56.136,0.403,4,1,61.71,2.28,2.23,791,3.18,0.44,0.48,25.74,2.59,32,2,+l,352.4840087890625,-56.13600158691406
xxl,IX/52/xxl365gc,IX/52/xxl365gc,236,520,352.502,-54.619,0.175,9,1,43.14,1.49,1.36,755,2.35,0.23,0.19,20.87,1.09,127,4,+lF,352.50201416015625,-54.61899948120117
xxl,IX/52/xxl365gc,IX/52/xxl365gc,237,574,352.513,-54.243,0.386,2,2,43.66,3.73,4.34,16959,1e+20,1e+20,1e+20,1e+20,1e+20,15,3,l,352.51300048828125,-54.24300003051758
xxl,IX/52/xxl365gc,IX/52/xxl365gc,238,619,352.529,-56.611,0.49,3,2,21.53,10.38,14.8,974,2.0,0.47,0.38,12.86,3.06,16,4,l,352.52899169921875,-56.611000061035156
xxl,IX/52/xxl365gc,IX/52/xxl365gc,239,626,352.606,-53.001,0.527,1,2,45.3,5.83,6.63,836,1.56,0.32,0.24,18.58,3.77,15,3,l,352.6059875488281,-53.000999450683594
xxl,IX/52/xxl365gc,IX/52/xxl365gc,240,582,352.61,-54.784,0.406,2,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,6,5,F,352.6099853515625,-54.784000396728516
xxl,IX/52/xxl365gc,IX/52/xxl365gc,241,623,352.641,-53.543,0.171,9,1,20.9,1.67,1.92,560,1.37,0.21,0.09,3.14,0.45,13,3,l,352.6409912109375,-53.542999267578125
xxl,IX/52/xxl365gc,IX/52/xxl365gc,242,588,352.659,-55.727,0.273,2,1,39.65,2.78,3.08,654,1.99,0.28,0.25,5.86,0.95,21,3,l,352.65899658203125,-55.72700119018555
xxl,IX/52/xxl365gc,IX/52/xxl365gc,243,596,352.678,-53.057,0.678,1,1,62.93,7.95,8.92,649,2.95,0.57,0.48,82.05,12.44,24,3,l,352.6780090332031,-53.05699920654297
xxl,IX/52/xxl365gc,IX/52/xxl365gc,244,620,352.871,-56.468,0.173,6,2,2.73,2.29,1.06,692,0.88,0.05,0.05,2.07,0.13,9,2,,352.8710021972656,-56.46799850463867
xxl,IX/52/xxl365gc,IX/52/xxl365gc,245,625,352.88,-53.185,0.334,4,1,33.61,3.32,3.58,16959,1e+20,1e+20,1e+20,1e+20,1e+20,14,3,l,352.8800048828125,-53.185001373291016
xxl,IX/52/xxl365gc,IX/52/xxl365gc,246,532,352.948,-52.669,0.392,7,1,65.38,2.47,2.57,746,2.83,0.51,0.5,29.41,3.74,49,3,+l,352.947998046875,-52.66899871826172
xxl,IX/52/xxl365gc,IX/52/xxl365gc,247,624,352.965,-53.113,0.382,5,2,32.22,3.62,4.43,763,1.2,0.24,0.22,5.37,1.1,11,2,,352.9649963378906,-53.112998962402344
xxl,IX/52/xxl365gc,IX/52/xxl365gc,248,519,353.019,-55.212,0.27,3,1,36.66,3.66,4.83,526,1.34,0.19,0.12,10.51,1.46,41,5,+l,353.0190124511719,-55.21200180053711
xxl,IX/52/xxl365gc,IX/52/xxl365gc,249,524,353.067,-54.702,0.27,8,1,45.72,2.94,3.35,717,2.34,0.32,0.31,12.78,1.32,34,3,+l,353.0669860839844,-54.70199966430664
xxl,IX/52/xxl365gc,IX/52/xxl365gc,250,610,353.104,-56.045,0.275,6,1,22.86,3.33,3.88,507,1.26,0.19,0.14,3.93,0.56,22,3,l,353.10400390625,-56.04499816894531
xxl,IX/52/xxl365gc,IX/52/xxl365gc,251,589,353.109,-55.784,0.066,2,2,3.61,3.86,2.63,16959,1e+20,1e+20,1e+20,1e+20,1e+20,13,4,l,353.1090087890625,-55.784000396728516
xxl,IX/52/xxl365gc,IX/52/xxl365gc,252,542,353.113,-53.976,0.4,4,1,234.92,1.84,1.76,1228,6.97,0.74,0.55,494.67,21.07,468,9,+l,353.1130065917969,-53.97600173950195
xxl,IX/52/xxl365gc,IX/52/xxl365gc,253,561,353.138,-52.338,0.455,4,2,67.4,4.96,5.06,993,2.02,0.33,0.32,24.84,4.91,29,5,l,353.13800048828125,-52.3380012512207
xxl,IX/52/xxl365gc,IX/52/xxl365gc,254,507,353.374,-52.252,0.566,6,1,90.9,5.69,6.03,564,2.04,0.44,0.29,38.8,5.52,39,5,+l,353.3739929199219,-52.25199890136719
xxl,IX/52/xxl365gc,IX/52/xxl365gc,255,608,353.384,-54.012,0.212,9,1,17.49,3.55,3.62,16959,1e+20,1e+20,1e+20,1e+20,1e+20,30,5,l,353.3840026855469,-54.012001037597656
xxl,IX/52/xxl365gc,IX/52/xxl365gc,256,571,353.442,-55.64,0.726,1,2,75.91,6.21,8.45,1107,2.96,0.48,0.45,48.47,7.63,17,3,l,353.4419860839844,-55.63999938964844
xxl,IX/52/xxl365gc,IX/52/xxl365gc,257,641,353.503,-52.581,0.455,1,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,4,3,,353.50299072265625,-52.58100128173828
xxl,IX/52/xxl365gc,IX/52/xxl365gc,258,549,353.515,-53.141,0.808,3,1,104.04,4.4,4.63,659,3.48,0.7,0.62,96.31,16.17,33,4,+l,353.5150146484375,-53.14099884033203
xxl,IX/52/xxl365gc,IX/52/xxl365gc,259,572,353.524,-55.785,0.727,1,2,1e+20,1e+20,1e+20,1201,3.43,0.62,0.6,21.06,3.55,7,4,,353.52398681640625,-55.78499984741211
xxl,IX/52/xxl365gc,IX/52/xxl365gc,260,614,353.587,-54.178,0.322,5,2,46.52,4.0,4.14,1577,4.25,0.23,0.28,11.99,0.77,17,4,l,353.5870056152344,-54.178001403808594
xxl,IX/52/xxl365gc,IX/52/xxl365gc,261,573,353.623,-54.608,0.384,2,1,41.34,2.96,3.17,16959,1e+20,1e+20,1e+20,1e+20,1e+20,20,3,l,353.62298583984375,-54.608001708984375
xxl,IX/52/xxl365gc,IX/52/xxl365gc,262,585,353.696,-55.274,0.324,4,1,34.33,4.0,5.06,483,1.21,0.11,0.16,4.91,0.69,21,3,l,353.6960144042969,-55.27399826049805
xxl,IX/52/xxl365gc,IX/52/xxl365gc,263,629,353.928,-54.349,0.173,4,1,1.41,1.26,0.79,16959,1e+20,1e+20,1e+20,1e+20,1e+20,12,3,F,353.9280090332031,-54.3489990234375
xxl,IX/52/xxl365gc,IX/52/xxl365gc,264,628,353.947,-53.876,0.515,2,2,36.98,8.03,10.52,16959,1e+20,1e+20,1e+20,1e+20,1e+20,11,3,,353.9469909667969,-53.875999450683594
xxl,IX/52/xxl365gc,IX/52/xxl365gc,265,537,354.029,-53.876,0.515,12,1,93.42,4.26,4.74,706,2.9,0.4,0.37,69.24,8.69,55,4,+l,354.02899169921875,-53.875999450683594
xxl,IX/52/xxl365gc,IX/52/xxl365gc,266,562,354.153,-52.738,0.536,4,1,72.19,4.92,5.08,699,2.91,0.74,0.67,26.78,4.28,28,5,l,354.15301513671875,-52.737998962402344
xxl,IX/52/xxl365gc,IX/52/xxl365gc,267,548,354.193,-53.793,0.323,4,1,43.14,4.67,4.95,558,1.57,0.3,0.2,6.19,0.83,31,4,+l,354.1929931640625,-53.792999267578125
