catalog,vizier_source,vizier_table,recno,XLSSC,RAJ2000,DEJ2000,z,Ngal,Class,Mgas500kpc,E_Mgas500kpc,e_Mgas500kpc,r500MT,T300kpc,E_T300kpc,e_T300kpc,LXXL500MT,e_LXXL500MT,F60,e_F60,Flags,RA_deg,Dec_deg
xxl,IX/52/xxl365gc,IX/52/xxl365gc,57,73,33.744,-3.506,1.033,4,2,1e+20,1e+20,1e+20,728,1.72,0.41,0.33,56.43,10.25,7,3,,33.74399948120117,-3.50600004196167
xxl,IX/52/xxl365gc,IX/52/xxl365gc,58,138,33.75,-3.905,0.14,9,2,8.37,3.49,2.7,16959,1e+20,1e+20,1e+20,1e+20,1e+20,18,5,l,33.75,-3.9049999713897705
xxl,IX/52/xxl365gc,IX/52/xxl365gc,59,188,33.812,-4.223,0.57,1,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,5,5,,33.8120002746582,-4.2230000495910645
xxl,IX/52/xxl365gc,IX/52/xxl365gc,60,72,33.85,-3.726,1.002,5,1,131.07,4.43,5.99,434,2.0,0.27,0.31,138.93,18.67,41,4,+l,33.849998474121094,-3.7260000705718994
xxl,IX/52/xxl365gc,IX/52/xxl365gc,61,180,33.863,-5.556,0.289,11,1,44.89,2.12,2.27,775,2.74,0.19,0.19,12.38,0.79,19,3,l,33.862998962402344,-5.556000232696533
xxl,IX/52/xxl365gc,IX/52/xxl365gc,62,135,33.868,-4.049,0.371,2,2,27.87,8.95,21.23,801,1.3,0.26,0.2,10.31,1.95,13,3,l,33.86800003051758,-4.048999786376953
xxl,IX/52/xxl365gc,IX/52/xxl365gc,63,56,33.871,-4.682,0.348,6,1,72.99,2.36,2.32,788,2.99,0.5,0.39,42.99,3.84,76,4,+l,33.87099838256836,-4.682000160217285
xxl,IX/52/xxl365gc,IX/52/xxl365gc,64,161,33.915,-5.98,0.306,3,1,42.89,2.44,3.08,715,2.41,0.41,0.34,12.44,1.75,27,4,l,33.915000915527344,-5.980000019073486
xxl,IX/52/xxl365gc,IX/52/xxl365gc,65,78,33.948,-4.842,0.953,3,2,45.89,10.93,12.26,949,2.63,0.41,0.45,74.85,12.49,10,2,,33.948001861572266,-4.8420000076293945
xxl,IX/52/xxl365gc,IX/52/xxl365gc,66,57,34.051,-4.242,0.153,18,1,46.8,0.99,1.0,707,2.05,0.26,0.18,11.37,0.93,80,5,+l,34.05099868774414,-4.242000102996826
xxl,IX/52/xxl365gc,IX/52/xxl365gc,67,187,34.136,-4.509,0.447,2,2,30.76,4.45,3.77,1295,3.24,0.6,0.59,28.8,4.11,17,3,l,34.13600158691406,-4.508999824523926
xxl,IX/52/xxl365gc,IX/52/xxl365gc,68,144,34.152,-4.45,0.447,5,2,46.19,5.0,6.2,910,1.72,0.28,0.23,11.01,1.7,15,4,l,34.152000427246094,-4.449999809265137
xxl,IX/52/xxl365gc,IX/52/xxl365gc,69,202,34.16,-4.617,0.292,3,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,3,1,,34.15999984741211,-4.617000102996826
xxl,IX/52/xxl365gc,IX/52/xxl365gc,70,194,34.2,-4.555,0.411,2,2,27.25,2.94,5.01,16959,1e+20,1e+20,1e+20,1e+20,1e+20,13,2,l,34.20000076293945,-4.554999828338623
xxl,IX/52/xxl365gc,IX/52/xxl365gc,71,65,34.245,-4.819,0.435,3,2,27.7,3.65,3.89,16959,1e+20,1e+20,1e+20,1e+20,1e+20,11,3,+,34.244998931884766,-4.818999767303467
xxl,IX/52/xxl365gc,IX/52/xxl365gc,72,195,34.266,-4.478,0.661,5,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,1,2,,34.26599884033203,-4.478000164031982
xxl,IX/52/xxl365gc,IX/52/xxl365gc,73,139,34.267,-3.536,0.216,5,2,8.18,2.72,3.04,16959,1e+20,1e+20,1e+20,1e+20,1e+20,12,3,,34.266998291015625,-3.5360000133514404
xxl,IX/52/xxl365gc,IX/52/xxl365gc,74,141,34.357,-4.659,0.196,3,2,1.07,0.59,0.32,16959,1e+20,1e+20,1e+20,1e+20,1e+20,4,1,,34.356998443603516,-4.658999919891357
xxl,IX/52/xxl365gc,IX/52/xxl365gc,75,59,34.397,-5.223,0.645,7,1,60.5,2.85,2.67,657,2.92,0.49,0.37,21.56,2.3,12,2,,34.39699935913086,-5.2230000495910645
xxl,IX/52/xxl365gc,IX/52/xxl365gc,76,137,34.416,-3.807,0.29,2,2,41.0,2.1,2.38,945,1.66,0.22,0.15,13.22,1.42,26,3,l,34.41600036621094,-3.806999921798706
xxl,IX/52/xxl365gc,IX/52/xxl365gc,77,124,34.425,-4.863,0.516,5,1,19.95,3.51,3.45,594,2.13,0.41,0.38,5.56,0.99,5,1,,34.42499923706055,-4.86299991607666
xxl,IX/52/xxl365gc,IX/52/xxl365gc,78,203,34.428,-4.989,1.077,1,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,2,1,,34.428001403808594,-4.988999843597412
xxl,IX/52/xxl365gc,IX/52/xxl365gc,79,122,34.433,-3.759,1.99,X,1,143.18,15.93,17.09,16959,1e+20,1e+20,1e+20,1e+20,1e+20,13,3,*l,34.43299865722656,-3.759000062942505
xxl,IX/52/xxl365gc,IX/52/xxl365gc,80,79,34.494,-4.868,0.194,5,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,4,2,*,34.49399948120117,-4.868000030517578
xxl,IX/52/xxl365gc,IX/52/xxl365gc,81,192,34.509,-5.029,0.341,2,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,3,2,,34.50899887084961,-5.0289998054504395
xxl,IX/52/xxl365gc,IX/52/xxl365gc,82,77,34.527,-3.656,0.202,4,2,32.53,3.56,3.99,931,1.53,0.28,0.21,7.66,1.11,23,4,l,34.527000427246094,-3.6559998989105225
