catalog,vizier_source,vizier_table,recno,Name,RAJ2000,DEJ2000,Sep,Photz,E_Photz,e_Photz,Rich,e_Rich,RA_deg,Dec_deg
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,30,MOO J0019+0209,00 19 49.88,+02 09 50.2,10,0.83,0.07,0.05,29,6,4.957833333333332,2.163944444444444
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,31,MOO J0020-2557,00 20 52.32,-25 56 38.4,30,0.94,0.07,0.07,17,5,5.217999999999999,-25.944
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,32,MOO J0020-2557,00 20 52.32,-25 56 38.4,30,0.94,0.07,0.07,17,5,5.217999999999999,-25.944
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,33,MOO J0021-1855,00 21 48.81,-18 55 46.5,23,0.98,0.06,0.05,35,6,5.453374999999999,-18.929583333333333
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,34,MOO J0021+2207,00 21 58.91,+22 07 59.4,9,1.14,0.13,0.11,19,5,5.495458333333333,22.133166666666668
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,35,MOO J0022-2730,00 22 08.95,-27 30 32.0,6,1.21,0.1,0.11,15,4,5.537291666666666,-27.50888888888889
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,36,MOO J0022-1802,00 22 19.00,-18 02 52.0,15,0.96,0.06,0.07,30,6,5.579166666666666,-18.047777777777775
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,37,MOO J0023+0918,00 23 04.48,+09 18 28.7,27,0.97,0.08,0.09,26,5,5.768666666666666,9.307972222222222
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,38,MOO J0023+1451,00 23 14.50,+14 52 01.8,23,1.05,0.09,0.09,23,5,5.810416666666667,14.867166666666668
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,39,MOO J0024-0347,00 24 43.19,-03 47 40.6,15,1.06,0.08,0.08,15,4,6.1799583333333326,-3.794611111111111
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,40,MOO J0024+3303,00 24 45.75,+33 03 20.5,15,1.16,0.05,0.04,61,8,6.190625,33.05569444444444
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,41,MOO J0024+3303,00 24 45.75,+33 03 20.5,15,1.16,0.05,0.04,61,8,6.190625,33.05569444444444
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,42,MOO J0025-2031,00 25 08.09,-20 31 28.7,3,0.94,0.06,0.06,25,5,6.283708333333333,-20.524638888888887
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,43,MOO J0025-2031,00 25 08.09,-20 31 28.7,3,0.94,0.06,0.06,25,5,6.283708333333333,-20.524638888888887
